trip_index,station1,station2,distance,duration,node0,node1,node2
0,2265,2263,16.09,22.04,0,1,2
1,2265,1758,21.15,28.56,0,2,1
2,2265,1800,15.41,23.62,0,2,1
3,2265,1813,16.18,22.31,0,2,1
4,2265,1728,16.62,23.32,0,2,1
5,2265,1739,27.47,38.44,0,2,1
6,2265,1824,18.01,27.05,0,1,2
7,2265,253,25.7,41.75,0,2,1
8,2265,264,21.21,37.79,0,2,1
9,2265,1814,19.29,30.22,0,2,1
10,2265,2259,19.3,30.54,0,2,1
11,2265,252,26.06,42.75,0,2,1
12,2265,246,21.44,38.44,0,2,1
13,2265,250,18.98,29.03,0,1,2
14,2265,254,26.11,42.81,0,2,1
15,2265,1818,21.36,36.13,0,1,2
16,2265,1090,19.31,29.99,0,1,2
17,2265,285,20.46,32.43,0,1,2
18,2265,358,19.57,30.8,0,2,1
19,2265,1042,26.41,43.7,0,2,1
20,2265,1727,22.25,40.51,0,1,2
21,2265,1091,21.89,37.24,0,1,2
22,2265,1769,19.57,30.8,0,2,1
23,2265,1731,22.07,37.94,0,1,2
24,2265,256,20.43,32.87,0,2,1
25,2265,1726,21.51,38.37,0,2,1
26,2265,265,21.94,39.59,0,2,1
27,2265,225,21.36,36.24,0,1,2
28,2265,1096,21.95,39.74,0,2,1
29,2265,1097,22.69,41.39,0,2,1
30,2265,1729,20.53,33.15,0,2,1
31,2265,1052,22.28,38.25,0,2,1
32,2265,2268,20.54,32.93,0,2,1
33,2265,1017,22.08,39.96,0,2,1
34,2265,1730,20.91,33.92,0,2,1
35,2265,251,21,34.77,0,2,1
36,2265,1028,21.84,37.19,0,2,1
37,2265,171,22.33,40.69,0,1,2
38,2265,1798,22.26,38.21,0,2,1
39,2265,248,22.42,40.81,0,1,2
40,2265,189,23.45,41.14,0,1,2
41,2265,183,22.44,38.2,0,1,2
42,2265,259,21.8,37.09,0,2,1
43,2265,1098,23.9,44.45,0,1,2
44,2265,1024,23.4,43.19,0,1,2
45,2265,1745,21.84,36.57,0,2,1
46,2265,1743,21.65,35.69,0,2,1
47,2265,262,21.47,35.13,0,2,1
48,2265,1019,23.15,40.2,0,2,1
49,2265,260,23.84,42.16,0,2,1
50,2265,1051,24.36,45.78,0,2,1
51,2265,1768,24.54,45.94,0,1,2
52,2265,1720,22.32,37.31,0,2,1
53,2265,296,23.86,41.97,0,2,1
54,2265,1737,22.3,37.32,0,2,1
55,2265,1721,24.48,43.76,0,2,1
56,2265,289,23.23,39.97,0,2,1
57,2265,1031,23.32,40.46,0,2,1
58,2265,1039,24.57,43.18,0,2,1
59,2265,1767,25.05,47.2,0,1,2
60,2265,247,23.32,39.9,0,2,1
61,2265,1038,23.04,36.68,0,1,2
62,2265,258,23.47,40.11,0,2,1
63,2265,249,25.06,44.97,0,2,1
64,2265,1744,32.96,47.71,0,2,1
65,2265,1050,25,44.78,0,2,1
66,2265,1821,24.08,42.33,0,2,1
67,2265,1748,33.04,47.88,0,2,1
68,2265,1809,33.4,49,0,2,1
69,2265,1749,23.93,41.56,0,2,1
70,2265,1823,26.69,49.07,0,2,1
71,2265,1763,24.08,41.62,0,2,1
72,2265,1102,26.15,47.66,0,2,1
73,2265,1025,26.73,49.06,0,2,1
74,2265,1092,27.23,49.79,0,2,1
75,2265,1765,26.24,47.83,0,2,1
76,2265,1753,25.85,43.72,0,1,2
77,2265,349,25.27,43.93,0,2,1
78,2265,1093,26.37,46.74,0,2,1
79,2265,1808,27.99,52.13,0,2,1
80,2265,1738,27.24,49.45,0,2,1
81,2265,1752,26.56,44.08,0,2,1
82,2265,1757,35.74,51.87,0,2,1
83,2265,1756,26.91,45.23,0,1,2
84,2265,1055,27.76,50.68,0,2,1
85,2265,1754,28.45,52.17,0,2,1
86,2265,1764,28.15,46.64,0,1,2
87,2265,1799,28.87,52.23,0,2,1
88,2265,1770,29.74,53.78,0,2,1
89,2265,1766,40.96,53.47,0,2,1
90,2265,1725,44.06,55.69,0,2,1
91,2265,1747,44.09,56.07,0,2,1
92,2265,1815,44.3,56.11,0,2,1
93,2265,1722,47.47,59.39,0,2,1
94,2265,1807,45.9,55.08,0,2,1
95,2265,1822,46,54.54,0,1,2
96,2265,1859,46.43,57.43,0,2,1
97,2265,1819,60.72,58.57,0,1,2
98,2265,1820,63.22,63.38,0,1,2
99,2265,1860,50.94,61.35,0,1,2
100,2265,1864,58.49,68.98,0,2,1
101,2265,1865,57.28,65.62,0,2,1
102,2265,1870,57.07,65.11,0,2,1
103,2265,1871,61.73,68.86,0,2,1
104,2265,1866,65.16,69.26,0,2,1
105,2265,1874,66.66,70.01,0,2,1
106,2265,1868,68.49,71.25,0,2,1
107,2265,1869,67.42,68.82,0,2,1
108,2265,1877,66.17,72.41,0,2,1
109,2263,1758,20.7,27.59,0,2,1
110,2263,1800,14.37,22,0,2,1
111,2263,1813,15.13,20.69,0,2,1
112,2263,1728,15.58,21.7,0,2,1
113,2263,1739,27.04,37.45,0,1,2
114,2263,1824,16.97,25.43,0,1,2
115,2263,253,24.66,40.13,0,2,1
116,2263,264,20.17,36.17,0,2,1
117,2263,1814,18.25,28.6,0,2,1
118,2263,2259,18.25,28.92,0,2,1
119,2263,252,25.02,41.13,0,2,1
120,2263,246,20.4,36.82,0,2,1
121,2263,250,17.94,27.41,0,1,2
122,2263,254,25.06,41.19,0,2,1
123,2263,1818,20.32,34.51,0,1,2
124,2263,1090,18.27,28.37,0,1,2
125,2263,285,19.42,30.81,0,1,2
126,2263,358,18.53,29.18,0,2,1
127,2263,1042,25.36,42.08,0,2,1
128,2263,1727,21.21,38.89,0,1,2
129,2263,1091,20.85,35.62,0,1,2
130,2263,1769,18.53,29.18,0,2,1
131,2263,1731,21.02,36.32,0,1,2
132,2263,256,19.39,31.25,0,2,1
133,2263,1726,20.47,36.75,0,2,1
134,2263,265,20.9,37.97,0,2,1
135,2263,225,20.32,34.62,0,1,2
136,2263,1096,20.9,38.12,0,2,1
137,2263,1097,21.65,39.77,0,2,1
138,2263,1729,19.48,31.53,0,2,1
139,2263,1052,21.24,36.63,0,2,1
140,2263,2268,19.49,31.31,0,2,1
141,2263,1017,21.04,38.34,0,2,1
142,2263,1730,19.87,32.3,0,2,1
143,2263,251,19.95,33.15,0,2,1
144,2263,1028,20.8,35.57,0,2,1
145,2263,171,21.29,39.07,0,1,2
146,2263,1798,21.22,36.59,0,2,1
147,2263,248,21.38,39.19,0,1,2
148,2263,189,22.41,39.52,0,1,2
149,2263,183,21.39,36.58,0,1,2
150,2263,259,20.76,35.47,0,2,1
151,2263,1098,22.86,42.83,0,1,2
152,2263,1024,22.36,41.57,0,1,2
153,2263,1745,20.8,34.95,0,2,1
154,2263,1743,20.6,34.07,0,2,1
155,2263,262,20.42,33.51,0,2,1
156,2263,1019,22.1,38.58,0,2,1
157,2263,260,22.8,40.54,0,2,1
158,2263,1051,23.32,44.16,0,2,1
159,2263,1768,23.5,44.32,0,1,2
160,2263,1720,21.28,35.69,0,2,1
161,2263,296,22.81,40.35,0,2,1
162,2263,1737,21.26,35.7,0,2,1
163,2263,1721,23.44,42.14,0,2,1
164,2263,289,22.19,38.35,0,2,1
165,2263,1031,22.28,38.84,0,2,1
166,2263,1039,23.53,41.56,0,2,1
167,2263,1767,24.01,45.58,0,1,2
168,2263,247,22.28,38.28,0,2,1
169,2263,1038,22,35.06,0,1,2
170,2263,258,22.42,38.49,0,2,1
171,2263,249,24.02,43.35,0,2,1
172,2263,1744,32.51,46.74,0,2,1
173,2263,1050,23.95,43.16,0,2,1
174,2263,1821,23.04,40.71,0,2,1
175,2263,1748,32.59,46.91,0,2,1
176,2263,1809,32.94,48.02,0,2,1
177,2263,1749,22.89,39.94,0,2,1
178,2263,1823,25.65,47.45,0,2,1
