start_station_id,start_station_name,count
171,George Square,36
183,Waverley Bridge,54
189,City Chambers,32
225,Waverley Court,10
246,Royal Commonwealth Pool,45
247,Charlotte Square,42
248,Bristo Square,56
249,Fountainbridge,42
250,Victoria Quay,35
251,Waverley Station,11
252,Kings Buildings 1,11
253,Kings Building 2,47
254,Kings Building 3,13
256,St Andrews House,19
258,Stockbridge,40
259,St Andrew Square,42
260,Lauriston Place,52
262,Canonmills,39
264,Pollock Halls,113
265,Meadows East,149
285,Ocean Terminal,11
289,Castle Street,24
296,Castle Terrace,30
349,Orchard Brae House,4
358,Leith Walk,50
1017,Crichton Street,41
1019,Grassmarket,21
1024,Meadow Place,109
1025,Dundee Terrace,51
1028,Hunter Square,27
1038,South Trinity Road,28
1039,Lothian Road,51
1042,Kings Buildings - Murchison House,7
1050,EICC,50
1051,Warrender Park Road,35
1052,Surgeons Hall,31
1055,Roseburn Street,8
1090,Hillside Crescent,25
1091,Holyrood Road,56
1092,Dalry Road Lidl,25
1093,Belford Road,7
1096,West Crosscauseway,51
1097,Gladstone Terrace,24
1098,Marchmont Crescent,19
1102,Haymarket Station,28
1720,Dundas Street,25
1721,Tollcross,60
1722,Cramond Foreshore,18
1725,Edinburgh Zoo,4
1726,Simon Square,18
1727,Causewayside,41
1728,Portobello - Kings Road,51
1729,McDonald Road,22
1730,East London Street,18
1731,Pleasance Courtyard,36
1737,Inverleith Row,20
1738,Wester Coates Terrace,4
1739,Edinburgh Royal Infirmary,9
1743,Logie Green Road,28
1744,Morningside Road,52
1745,Scotland Street,15
1747,Corstorphine Road,2
1748,Colinton Road,22
1749,Dean Street,2
1753,Waitrose Comely Bank,29
1754,Murrayfield Tram,12
1756,Western General Hospital,31
1757,Meggetland,16
1758,Queen Margaret University,11
1763,Comely Bank Road,15
1764,Craigleith Road,9
1765,Haymarket Terrace,40
1766,Balgreen Road,2
1767,Bruntsfield Links,71
1768,Thirlestane Road,25
1769,Brunswick Place,36
1770,Ellersly Road,8
1798,Chambers Street,32
1799,Murrayfield,5
1800,Joppa,13
1807,Gamekeeper's Road,6
1808,Gorgie Road,21
1809,Royal Edinburgh Hospital,3
1813,Milton Road - Edinburgh College,11
1814,Abbeyhill,56
1815,Sighthill - Edinburgh College,4
1818,Dynamic Earth,35
1819,Heriot Watt - Edinburgh Business School,16
1820,Heriot Watt - Student Accommodation,18
1821,Drumsheugh Place,26
1822,Edinburgh Park Station,3
1823,Boroughmuir,32
1824,Duke Street,25
1859,Edinburgh Park Central,3
1860,Ingliston Park & Ride,2
1864,Borrowman Square,4
1866,The Loan,2
1868,Forth Bridge Visitors Centre,4
1870,Hawes Pier,1
1874,Tesco Ferrymuir,1
2259,Leith Walk North,24
2263,Musselburgh Lidl,10
2265,Musselburgh Brunton Hall,1
2268,Picardy Place,53
