start_station_id,end_station_id,count
1818,1818,13
1824,1824,10
1728,1818,5
1824,1728,5
1767,1767,5
1745,1745,5
225,1039,5
258,250,5
1807,1870,4
1814,1821,4
1729,1729,4
1823,1823,4
285,285,4
247,1814,4
250,1814,4
265,1024,4
1814,247,4
1091,1807,4
1025,1025,4
183,265,4
1024,265,3
1039,358,3
1025,1808,3
260,1767,3
1730,1730,3
260,1824,3
1052,225,3
1721,1039,3
1019,289,3
248,1102,3
2263,2263,3
1727,1727,3
1769,1769,3
265,265,3
250,1728,3
265,259,3
250,1720,3
258,258,3
1024,1024,3
1824,285,3
247,1025,3
1028,1818,3
1730,258,3
1730,358,3
1737,1038,3
1767,265,3
247,247,3
358,358,3
1798,1767,3
1024,259,3
1024,1823,2
262,1753,2
259,1090,2
1051,1823,2
259,1808,2
1799,1765,2
259,259,2
264,264,2
1808,285,2
1800,1769,2
1800,264,2
262,1728,2
260,1765,2
262,358,2
1800,1800,2
1808,259,2
260,1721,2
259,358,2
260,1748,2
1055,1092,2
264,265,2
1721,1024,2
1798,296,2
296,1721,2
358,262,2
1767,248,2
358,1730,2
1038,1038,2
1749,250,2
1765,1799,2
1752,258,2
1765,260,2
1763,1763,2
1758,1758,2
1753,358,2
1025,358,2
1757,1024,2
1025,289,2
1025,265,2
1024,1749,2
1753,1753,2
296,1823,2
1745,262,2
1051,265,2
289,1025,2
265,247,2
1743,262,2
265,254,2
1769,1824,2
265,285,2
265,1096,2
1039,2259,2
265,1721,2
1814,250,2
265,1767,2
1769,1728,2
1039,1818,2
285,1726,2
285,1769,2
285,1824,2
1744,248,2
1768,1768,2
265,1728,2
1024,1818,2
1821,1821,2
250,1800,2
250,1752,2
250,285,2
1821,1728,2
1821,1763,2
2259,250,2
1870,1870,2
225,250,2
249,1757,2
1869,1869,2
1722,1752,2
249,1025,2
1823,264,2
1727,1808,2
1727,1767,2
246,171,2
248,1818,2
1720,258,2
248,1721,2
248,1052,2
246,1731,2
248,1038,2
248,1028,2
247,1737,2
248,1024,2
248,285,2
248,265,2
1823,1818,2
1823,1860,2
1824,246,2
1728,1039,2
1727,247,2
1728,1052,2
1721,260,2
171,1769,2
1090,1765,2
1814,1814,2
183,1769,2
1814,1756,2
2263,1818,2
1090,2259,2
1091,1038,2
1721,264,2
1091,1728,2
2259,1814,2
1818,1039,2
1814,1818,2
1728,1824,2
1814,1739,2
183,1728,2
1728,2259,2
258,1052,2
1092,1818,2
2265,1800,2
1753,1743,1
1748,248,1
1726,1739,1
1748,1748,1
1753,1729,1
1748,1744,1
1753,1745,1
1726,1728,1
1748,1728,1
1748,254,1
1726,358,1
1748,1055,1
1725,1808,1
1726,264,1
1721,1098,1
1752,1814,1
1752,1743,1
1752,1737,1
1721,1763,1
1721,1727,1
1747,358,1
1752,1050,1
1752,265,1
1726,183,1
1752,250,1
1749,1024,1
1753,1038,1
1749,258,1
1721,1055,1
1721,1042,1
1748,1808,1
1731,171,1
1743,1824,1
1747,183,1
1745,1763,1
1739,1814,1
1739,1730,1
1728,265,1
1739,1729,1
1728,1038,1
1728,1090,1
1738,1039,1
1728,2263,1
1729,1038,1
1729,1753,1
1738,358,1
1737,1818,1
1737,1769,1
1737,1756,1
1730,265,1
1737,259,1
1731,1821,1
1730,1090,1
1731,1814,1
1730,1769,1
1731,1739,1
1728,262,1
1743,183,1
1743,253,1
1743,1814,1
1744,1767,1
1744,1025,1
1744,265,1
1744,253,1
1727,248,1
1744,183,1
1727,253,1
1731,296,1
1727,260,1
1727,264,1
1728,250,1
1727,1019,1
1727,1025,1
1743,1798,1
1727,1763,1
1743,1743,1
1743,1092,1
1727,1823,1
1727,2259,1
1743,1090,1
1737,258,1
171,183,1
1753,1814,1
1754,183,1
1821,1090,1
1821,1039,1
1821,1038,1
1821,259,1
1821,250,1
1820,1819,1
1819,1822,1
1819,1820,1
1819,1819,1
1819,1818,1
1818,1814,1
1818,1728,1
1818,1096,1
1818,250,1
1818,248,1
1818,246,1
1815,1815,1
1815,1752,1
1814,2263,1
1814,1800,1
1814,1752,1
1814,1743,1
1814,1098,1
1814,1024,1
1814,253,1
1814,251,1
1809,1092,1
1809,171,1
1808,1765,1
1821,1756,1
1822,1807,1
1822,1823,1
1824,1743,1
2263,1814,1
2263,1800,1
2263,1728,1
2259,2259,1
2259,1728,1
2259,358,1
2259,285,1
2259,262,1
1869,1865,1
1865,1871,1
1865,1869,1
1824,1823,1
1824,1821,1
1824,1730,1
1823,247,1
1824,1097,1
1824,259,1
1823,1815,1
1823,1808,1
1823,1798,1
1823,1769,1
1823,1757,1
1823,1754,1
1823,1727,1
1823,1039,1
1823,289,1
1823,285,1
1823,260,1
1808,1752,1
1808,1725,1
1808,1102,1
1765,1738,1
1767,1744,1
1767,1727,1
1767,1720,1
1767,1091,1
1767,1042,1
1767,1019,1
1767,289,1
1766,1823,1
1766,1024,1
1766,262,1
1765,1859,1
1765,1822,1
1765,1821,1
1765,1055,1
1767,1823,1
1765,1024,1
1764,1764,1
1764,1019,1
1763,1038,1
1763,262,1
1763,250,1
1757,1823,1
1757,1815,1
1757,1767,1
1757,1728,1
1756,1808,1
1756,1756,1
1756,259,1
1767,1808,1
1768,183,1
1808,1055,1
1769,2259,1
1808,358,1
1808,248,1
1808,171,1
1807,1722,1
1800,2265,1
1799,1754,1
1799,250,1
1799,247,1
1798,1102,1
1798,253,1
1770,289,1
1770,259,1
1770,258,1
1769,1821,1
1768,265,1
1769,1814,1
1769,1739,1
1769,1737,1
1769,1090,1
1769,1028,1
1769,358,1
1769,285,1
1769,265,1
1721,1025,1
1769,183,1
1768,1767,1
1768,1039,1
1768,1024,1
1769,248,1
1091,358,1
1721,1019,1
260,296,1
259,1720,1
259,1729,1
259,1749,1
260,246,1
260,249,1
260,260,1
260,1025,1
259,1038,1
260,1731,1
260,1823,1
262,250,1
262,254,1
262,258,1
262,1038,1
259,1097,1
259,262,1
289,1823,1
256,1818,1
254,265,1
254,1727,1
254,1730,1
254,1748,1
256,256,1
256,1728,1
256,1824,1
259,247,1
258,1038,1
258,1720,1
258,1726,1
258,1749,1
258,1824,1
259,183,1
262,1745,1
262,1824,1
264,183,1
289,358,1
285,249,1
285,250,1
285,1823,1
285,2259,1
289,260,1
289,289,1
289,1017,1
264,252,1
289,1096,1
289,1721,1
289,1743,1
289,1770,1
289,1798,1
289,1799,1
265,1823,1
265,1769,1
265,1720,1
265,1097,1
265,1042,1
265,1025,1
265,358,1
265,260,1
265,252,1
265,248,1
265,246,1
265,189,1
265,183,1
264,1731,1
264,1727,1
264,1017,1
264,358,1
254,262,1
254,246,1
253,1744,1
247,1765,1
246,1028,1
246,1052,1
246,1728,1
247,249,1
247,1038,1
247,1749,1
247,1769,1
248,1050,1
247,1808,1
247,1823,1
247,2259,1
248,225,1
248,248,1
248,249,1
246,252,1
225,1824,1
225,1745,1
189,2263,1
183,1824,1
183,1821,1
183,1756,1
183,1721,1
183,1052,1
183,285,1
183,254,1
183,250,1
183,246,1
183,183,1
171,1744,1
171,285,1
171,265,1
248,1017,1
248,1051,1
253,1743,1
253,265,1
250,1824,1
251,1728,1
252,171,1
252,265,1
252,1024,1
252,1814,1
253,358,1
248,1764,1
253,1019,1
253,1025,1
253,1052,1
253,1055,1
253,1096,1
253,1727,1
250,1763,1
250,1730,1
250,265,1
250,262,1
250,258,1
250,250,1
250,248,1
249,1808,1
249,1727,1
249,1720,1
249,289,1
249,265,1
249,260,1
249,259,1
248,1824,1
248,1769,1
248,1767,1
289,1808,1
296,296,1
1721,289,1
1090,1728,1
1055,1055,1
1055,1721,1
1055,1823,1
1090,258,1
1090,285,1
1090,1720,1
1090,1743,1
1052,1769,1
1090,1745,1
1090,1814,1
171,248,1
1092,289,1
1092,1055,1
1092,1090,1
1052,1823,1
1052,1730,1
296,1808,1
1051,252,1
1042,1052,1
1050,289,1
1050,1091,1
1050,1765,1
1050,1860,1
1051,171,1
1051,285,1
1052,1038,1
1051,1753,1
1052,183,1
1052,246,1
1052,358,1
1052,1017,1
1052,1028,1
1092,1743,1
1092,1770,1
1092,1798,1
1102,2259,1
1098,1024,1
1098,1097,1
1102,1024,1
1102,1051,1
1102,1748,1
1102,1824,1
1720,250,1
1092,1815,1
1720,262,1
1720,1038,1
1720,1090,1
1720,1824,1
1721,249,1
1721,265,1
1098,1017,1
1098,254,1
1097,1757,1
1097,1748,1
1097,1729,1
