,end_station_id,end_station_name,count
0,171,George Square,204
1,183,Waverley Bridge,448
2,189,City Chambers,92
3,225,Waverley Court,74
4,246,Royal Commonwealth Pool,245
5,247,Charlotte Square,185
6,248,Bristo Square,233
7,249,Fountainbridge,264
8,250,Victoria Quay,473
9,251,Waverley Station,20
10,252,Kings Buildings 1,108
11,253,Kings Building 2,281
12,254,Kings Building 3,87
13,256,St Andrews House,51
14,258,Stockbridge,316
15,259,St Andrew Square,307
16,260,Lauriston Place,211
17,262,Canonmills,280
18,264,Pollock Halls,265
19,265,Meadows East,797
20,285,Ocean Terminal,254
21,289,Castle Street,383
22,296,Castle Terrace,129
23,349,Orchard Brae House,29
24,358,Leith Walk,586
25,1017,Crichton Street,150
26,1019,Grassmarket,192
27,1024,Meadow Place,467
28,1025,Dundee Terrace,379
29,1028,Hunter Square,166
30,1031,Eden Locke - Aparthotel (RESIDENTS ONLY),1
31,1038,South Trinity Road,225
32,1039,Lothian Road,269
33,1042,Kings Buildings - Murchison House,42
34,1050,EICC,177
35,1051,Warrender Park Road,161
36,1052,Surgeons Hall,203
37,1055,Roseburn Street,97
38,1090,Hillside Crescent,250
39,1091,Holyrood Road,241
40,1092,Dalry Road Lidl,212
41,1093,Belford Road,63
42,1096,West Crosscauseway,208
43,1097,Gladstone Terrace,115
44,1098,Marchmont Crescent,131
45,1102,Haymarket Station,166
46,1720,Dundas Street,218
47,1721,Tollcross,315
48,1722,Cramond Foreshore,239
49,1725,Edinburgh Zoo,54
50,1726,Simon Square,130
51,1727,Causewayside,266
52,1728,Portobello - Kings Road,583
53,1729,McDonald Road,242
54,1730,East London Street,185
55,1731,Pleasance Courtyard,157
56,1737,Inverleith Row,168
57,1738,Wester Coates Terrace,82
58,1739,Edinburgh Royal Infirmary,71
59,1743,Logie Green Road,179
60,1744,Morningside Road,291
61,1745,Scotland Street,167
62,1747,Corstorphine Road,60
63,1748,Colinton Road,114
64,1749,Dean Street,70
65,1752,IGMM - Western General,155
66,1753,Waitrose Comely Bank,159
67,1754,Murrayfield Tram,52
68,1756,Western General Hospital,79
69,1757,Meggetland,209
70,1758,Queen Margaret University,94
71,1763,Comely Bank Road,215
72,1764,Craigleith Road,76
73,1765,Haymarket Terrace,156
74,1766,Balgreen Road,67
75,1767,Bruntsfield Links,293
76,1768,Thirlestane Road,80
77,1769,Brunswick Place,297
78,1770,Ellersly Road,63
79,1798,Chambers Street,90
80,1799,Murrayfield,30
81,1800,Joppa,172
82,1807,Gamekeeper's Road,53
83,1808,Gorgie Road,236
84,1809,Royal Edinburgh Hospital,14
85,1813,Milton Road - Edinburgh College,72
86,1814,Abbeyhill,398
87,1815,Sighthill - Edinburgh College,18
88,1818,Dynamic Earth,280
89,1819,Heriot Watt - Edinburgh Business School,103
90,1820,Heriot Watt - Student Accommodation,61
91,1821,Drumsheugh Place,212
92,1822,Edinburgh Park Station,71
93,1823,Boroughmuir,327
94,1824,Duke Street,572
95,1859,Edinburgh Park Central,10
96,1860,Ingliston Park & Ride,21
97,1864,Borrowman Square,10
98,1865,Dalmeny Station,26
99,1866,The Loan,26
100,1868,Forth Bridge Visitors Centre,15
101,1869,Hopetoun Road,57
102,1870,Hawes Pier,105
103,1871,Scotstoun House,1
104,1874,Tesco Ferrymuir,20
105,1877,Port Edgar Marina,25
106,2259,Leith Walk North,208
107,2263,Musselburgh Lidl,129
108,2265,Musselburgh Brunton Hall,34
109,2268,Picady Place,1
110,2268,Picardy Place,159
