,start_station_name,end_station_name,count
0,Abbeyhill,Abbeyhill,48
1,Abbeyhill,Bristo Square,3
2,Abbeyhill,Brunswick Place,5
3,Abbeyhill,Bruntsfield Links,4
4,Abbeyhill,Canonmills,1
5,Abbeyhill,Castle Street,1
6,Abbeyhill,Causewayside,2
7,Abbeyhill,Chambers Street,1
8,Abbeyhill,Charlotte Square,4
9,Abbeyhill,City Chambers,1
10,Abbeyhill,Corstorphine Road,3
11,Abbeyhill,Crichton Street,4
12,Abbeyhill,Dalry Road Lidl,3
13,Abbeyhill,Drumsheugh Place,4
14,Abbeyhill,Duke Street,2
15,Abbeyhill,Dundas Street,3
16,Abbeyhill,Dundee Terrace,1
17,Abbeyhill,Dynamic Earth,27
18,Abbeyhill,EICC,1
19,Abbeyhill,East London Street,1
20,Abbeyhill,Edinburgh Royal Infirmary,7
21,Abbeyhill,Edinburgh Zoo,2
22,Abbeyhill,Fountainbridge,1
23,Abbeyhill,George Square,2
24,Abbeyhill,Gorgie Road,1
25,Abbeyhill,Grassmarket,8
26,Abbeyhill,Haymarket Terrace,1
27,Abbeyhill,Hillside Crescent,1
28,Abbeyhill,Holyrood Road,14
29,Abbeyhill,Hunter Square,10
30,Abbeyhill,IGMM - Western General,2
31,Abbeyhill,Inverleith Row,1
32,Abbeyhill,Joppa,7
33,Abbeyhill,Kings Building 2,6
34,Abbeyhill,Kings Building 3,4
35,Abbeyhill,Kings Buildings 1,1
36,Abbeyhill,Lauriston Place,1
37,Abbeyhill,Leith Walk,2
38,Abbeyhill,Logie Green Road,4
39,Abbeyhill,Lothian Road,3
40,Abbeyhill,Marchmont Crescent,1
41,Abbeyhill,McDonald Road,1
42,Abbeyhill,Meadow Place,2
43,Abbeyhill,Meadows East,6
44,Abbeyhill,Meggetland,1
45,Abbeyhill,Milton Road - Edinburgh College,1
46,Abbeyhill,Morningside Road,2
47,Abbeyhill,Musselburgh Brunton Hall,1
48,Abbeyhill,Musselburgh Lidl,5
49,Abbeyhill,Ocean Terminal,8
50,Abbeyhill,Picardy Place,2
51,Abbeyhill,Pleasance Courtyard,11
52,Abbeyhill,Pollock Halls,7
53,Abbeyhill,Portobello - Kings Road,20
54,Abbeyhill,Royal Commonwealth Pool,3
55,Abbeyhill,Scotland Street,1
56,Abbeyhill,Simon Square,2
57,Abbeyhill,St Andrew Square,4
58,Abbeyhill,St Andrews House,3
59,Abbeyhill,Stockbridge,4
60,Abbeyhill,Surgeons Hall,1
61,Abbeyhill,Tollcross,6
62,Abbeyhill,Victoria Quay,3
63,Abbeyhill,Warrender Park Road,2
64,Abbeyhill,Waverley Bridge,9
65,Abbeyhill,Waverley Court,2
66,Abbeyhill,Waverley Station,2
67,Abbeyhill,West Crosscauseway,8
68,Abbeyhill,Western General Hospital,2
69,Balgreen Road,Balgreen Road,2
70,Balgreen Road,Boroughmuir,1
71,Balgreen Road,Bruntsfield Links,1
72,Balgreen Road,Canonmills,2
73,Balgreen Road,Castle Street,2
74,Balgreen Road,Corstorphine Road,1
75,Balgreen Road,Dalry Road Lidl,1
76,Balgreen Road,Dundas Street,2
77,Balgreen Road,Gorgie Road,1
78,Balgreen Road,Haymarket Station,2
79,Balgreen Road,Hunter Square,2
80,Balgreen Road,Kings Buildings 1,1
81,Balgreen Road,Leith Walk,1
82,Balgreen Road,Meadow Place,2
83,Balgreen Road,Meadows East,1
84,Balgreen Road,Murrayfield Tram,1
85,Balgreen Road,Roseburn Street,3
86,Balgreen Road,Stockbridge,1
87,Balgreen Road,Wester Coates Terrace,1
88,Belford Road,Belford Road,3
89,Belford Road,Bristo Square,2
90,Belford Road,Bruntsfield Links,1
91,Belford Road,Castle Street,1
92,Belford Road,Comely Bank Road,1
93,Belford Road,Corstorphine Road,2
94,Belford Road,Dalry Road Lidl,1
95,Belford Road,Drumsheugh Place,3
96,Belford Road,Duke Street,2
97,Belford Road,Dynamic Earth,1
98,Belford Road,EICC,2
99,Belford Road,Gamekeeper's Road,2
100,Belford Road,George Square,1
101,Belford Road,Gorgie Road,1
102,Belford Road,Grassmarket,1
103,Belford Road,Hawes Pier,1
104,Belford Road,Haymarket Station,1
105,Belford Road,IGMM - Western General,1
106,Belford Road,Kings Building 2,2
107,Belford Road,Leith Walk,1
108,Belford Road,McDonald Road,1
109,Belford Road,Meadows East,1
110,Belford Road,Meggetland,1
111,Belford Road,Murrayfield Tram,1
112,Belford Road,Orchard Brae House,2
113,Belford Road,Portobello - Kings Road,1
114,Belford Road,Roseburn Street,2
115,Belford Road,Royal Commonwealth Pool,3
116,Belford Road,South Trinity Road,2
117,Belford Road,St Andrew Square,3
118,Belford Road,Stockbridge,4
119,Belford Road,Tollcross,1
120,Belford Road,Victoria Quay,3
121,Belford Road,Waitrose Comely Bank,3
122,Belford Road,Waverley Bridge,4
123,Belford Road,West Crosscauseway,4
124,Belford Road,Wester Coates Terrace,2
125,Boroughmuir,Abbeyhill,3
126,Boroughmuir,Boroughmuir,53
127,Boroughmuir,Bristo Square,4
128,Boroughmuir,Brunswick Place,1
129,Boroughmuir,Castle Street,11
130,Boroughmuir,Castle Terrace,2
131,Boroughmuir,Causewayside,2
132,Boroughmuir,Chambers Street,1
133,Boroughmuir,Charlotte Square,2
134,Boroughmuir,City Chambers,2
135,Boroughmuir,Colinton Road,1
136,Boroughmuir,Comely Bank Road,7
137,Boroughmuir,Cramond Foreshore,1
138,Boroughmuir,Crichton Street,3
139,Boroughmuir,Dalry Road Lidl,5
140,Boroughmuir,Duke Street,1
141,Boroughmuir,Dundas Street,2
142,Boroughmuir,Dundee Terrace,11
143,Boroughmuir,Dynamic Earth,11
144,Boroughmuir,EICC,2
145,Boroughmuir,Edinburgh Park Station,2
146,Boroughmuir,Edinburgh Royal Infirmary,1
147,Boroughmuir,Edinburgh Zoo,1
148,Boroughmuir,Fountainbridge,8
149,Boroughmuir,George Square,7
150,Boroughmuir,Gladstone Terrace,2
151,Boroughmuir,Gorgie Road,3
152,Boroughmuir,Grassmarket,2
153,Boroughmuir,Haymarket Terrace,5
154,Boroughmuir,Heriot Watt - Edinburgh Business School,8
155,Boroughmuir,Heriot Watt - Student Accommodation,2
156,Boroughmuir,Hillside Crescent,1
157,Boroughmuir,Ingliston Park & Ride,2
158,Boroughmuir,Kings Building 2,6
159,Boroughmuir,Kings Buildings - Murchison House,2
160,Boroughmuir,Kings Buildings 1,4
161,Boroughmuir,Lauriston Place,8
162,Boroughmuir,Leith Walk,1
163,Boroughmuir,Leith Walk North,1
164,Boroughmuir,Lothian Road,10
165,Boroughmuir,Marchmont Crescent,3
166,Boroughmuir,McDonald Road,1
167,Boroughmuir,Meadow Place,5
168,Boroughmuir,Meadows East,14
169,Boroughmuir,Meggetland,23
170,Boroughmuir,Murrayfield,3
171,Boroughmuir,Murrayfield Tram,1
172,Boroughmuir,Ocean Terminal,2
173,Boroughmuir,Pollock Halls,3
174,Boroughmuir,Roseburn Street,1
175,Boroughmuir,Royal Commonwealth Pool,1
176,Boroughmuir,Royal Edinburgh Hospital,2
177,Boroughmuir,Sighthill - Edinburgh College,1
178,Boroughmuir,South Trinity Road,1
179,Boroughmuir,St Andrew Square,3
180,Boroughmuir,Stockbridge,2
181,Boroughmuir,Surgeons Hall,1
182,Boroughmuir,Thirlestane Road,1
183,Boroughmuir,Tollcross,3
184,Boroughmuir,Victoria Quay,2
185,Boroughmuir,Waitrose Comely Bank,1
186,Boroughmuir,Warrender Park Road,4
187,Boroughmuir,Waverley Bridge,2
188,Boroughmuir,West Crosscauseway,1
189,Boroughmuir,Wester Coates Terrace,1
190,Borrowman Square,Borrowman Square,4
191,Borrowman Square,Dalmeny Station,2
192,Borrowman Square,Drumsheugh Place,1
193,Borrowman Square,Ellersly Road,2
194,Borrowman Square,Hopetoun Road,3
195,Borrowman Square,Port Edgar Marina,1
196,Borrowman Square,Tesco Ferrymuir,1
197,Bristo Square,Abbeyhill,4
198,Bristo Square,Belford Road,2
199,Bristo Square,Boroughmuir,4
200,Bristo Square,Bristo Square,29
201,Bristo Square,Brunswick Place,2
202,Bristo Square,Bruntsfield Links,20
203,Bristo Square,Canonmills,3
204,Bristo Square,Castle Street,6
205,Bristo Square,Castle Terrace,1
206,Bristo Square,Causewayside,5
207,Bristo Square,Chambers Street,1
208,Bristo Square,Charlotte Square,2
209,Bristo Square,City Chambers,1
210,Bristo Square,Colinton Road,6
211,Bristo Square,Comely Bank Road,3
212,Bristo Square,Craigleith Road,4
213,Bristo Square,Cramond Foreshore,2
214,Bristo Square,Crichton Street,3
215,Bristo Square,Dalry Road Lidl,3
216,Bristo Square,Drumsheugh Place,14
217,Bristo Square,Duke Street,10
218,Bristo Square,Dundas Street,4
219,Bristo Square,Dundee Terrace,6
220,Bristo Square,Dynamic Earth,14
221,Bristo Square,EICC,5
222,Bristo Square,East London Street,1
223,Bristo Square,Fountainbridge,5
224,Bristo Square,George Square,5
225,Bristo Square,Gorgie Road,14
226,Bristo Square,Grassmarket,2
227,Bristo Square,Haymarket Station,3
228,Bristo Square,Hillside Crescent,1
229,Bristo Square,Holyrood Road,6
230,Bristo Square,Hunter Square,2
231,Bristo Square,IGMM - Western General,4
232,Bristo Square,Inverleith Row,1
233,Bristo Square,Joppa,1
234,Bristo Square,Kings Building 2,3
235,Bristo Square,Kings Building 3,4
236,Bristo Square,Kings Buildings - Murchison House,2
237,Bristo Square,Lauriston Place,5
238,Bristo Square,Leith Walk,3
239,Bristo Square,Leith Walk North,2
240,Bristo Square,Logie Green Road,2
241,Bristo Square,Lothian Road,5
242,Bristo Square,Marchmont Crescent,13
243,Bristo Square,McDonald Road,1
244,Bristo Square,Meadow Place,32
245,Bristo Square,Meadows East,28
246,Bristo Square,Meggetland,8
247,Bristo Square,Morningside Road,6
248,Bristo Square,Ocean Terminal,4
249,Bristo Square,Picardy Place,1
250,Bristo Square,Pollock Halls,5
251,Bristo Square,Portobello - Kings Road,3
252,Bristo Square,Roseburn Street,1
253,Bristo Square,Royal Commonwealth Pool,5
254,Bristo Square,Scotland Street,1
255,Bristo Square,Simon Square,2
256,Bristo Square,South Trinity Road,2
257,Bristo Square,St Andrew Square,2
258,Bristo Square,St Andrews House,1
259,Bristo Square,Stockbridge,2
260,Bristo Square,Surgeons Hall,8
261,Bristo Square,The Loan,2
262,Bristo Square,Thirlestane Road,2
263,Bristo Square,Tollcross,9
264,Bristo Square,Victoria Quay,2
265,Bristo Square,Waitrose Comely Bank,1
266,Bristo Square,Warrender Park Road,6
267,Bristo Square,Waverley Bridge,11
268,Bristo Square,Waverley Court,5
269,Bristo Square,West Crosscauseway,2
270,Bristo Square,Wester Coates Terrace,1
271,Brunswick Place,Abbeyhill,2
272,Brunswick Place,Bristo Square,2
273,Brunswick Place,Brunswick Place,42
274,Brunswick Place,Canonmills,6
275,Brunswick Place,Castle Street,7
276,Brunswick Place,Charlotte Square,1
277,Brunswick Place,Comely Bank Road,5
278,Brunswick Place,Craigleith Road,1
279,Brunswick Place,Cramond Foreshore,1
280,Brunswick Place,Crichton Street,1
281,Brunswick Place,Drumsheugh Place,3
282,Brunswick Place,Duke Street,18
283,Brunswick Place,Dundas Street,2
284,Brunswick Place,Dundee Terrace,2
285,Brunswick Place,Dynamic Earth,1
286,Brunswick Place,East London Street,6
287,Brunswick Place,Edinburgh Park Station,1
288,Brunswick Place,Edinburgh Royal Infirmary,1
289,Brunswick Place,Edinburgh Zoo,1
290,Brunswick Place,Fountainbridge,1
291,Brunswick Place,George Square,1
292,Brunswick Place,Grassmarket,1
293,Brunswick Place,Hillside Crescent,4
294,Brunswick Place,Hunter Square,5
295,Brunswick Place,IGMM - Western General,4
296,Brunswick Place,Inverleith Row,11
297,Brunswick Place,Joppa,3
298,Brunswick Place,Kings Building 2,3
299,Brunswick Place,Lauriston Place,1
300,Brunswick Place,Leith Walk,10
301,Brunswick Place,Leith Walk North,8
302,Brunswick Place,Logie Green Road,4
303,Brunswick Place,Marchmont Crescent,4
304,Brunswick Place,McDonald Road,7
305,Brunswick Place,Meadows East,8
306,Brunswick Place,Milton Road - Edinburgh College,1
307,Brunswick Place,Morningside Road,1
308,Brunswick Place,Ocean Terminal,4
309,Brunswick Place,Picardy Place,4
310,Brunswick Place,Pollock Halls,2
311,Brunswick Place,Portobello - Kings Road,13
312,Brunswick Place,Royal Commonwealth Pool,2
313,Brunswick Place,Scotland Street,2
314,Brunswick Place,Sighthill - Edinburgh College,2
315,Brunswick Place,Simon Square,2
316,Brunswick Place,South Trinity Road,3
317,Brunswick Place,St Andrew Square,16
318,Brunswick Place,Stockbridge,8
319,Brunswick Place,Tollcross,2
320,Brunswick Place,Victoria Quay,11
321,Brunswick Place,Waitrose Comely Bank,8
322,Brunswick Place,Waverley Bridge,2
323,Brunswick Place,Waverley Court,1
324,Brunswick Place,Waverley Station,1
325,Brunswick Place,Wester Coates Terrace,1
326,Bruntsfield Links,Abbeyhill,4
327,Bruntsfield Links,Balgreen Road,1
328,Bruntsfield Links,Boroughmuir,6
329,Bruntsfield Links,Bristo Square,19
330,Bruntsfield Links,Brunswick Place,2
331,Bruntsfield Links,Bruntsfield Links,36
332,Bruntsfield Links,Castle Street,4
333,Bruntsfield Links,Causewayside,4
334,Bruntsfield Links,Charlotte Square,1
335,Bruntsfield Links,City Chambers,1
336,Bruntsfield Links,Colinton Road,7
337,Bruntsfield Links,Comely Bank Road,1
338,Bruntsfield Links,Corstorphine Road,1
339,Bruntsfield Links,Crichton Street,4
340,Bruntsfield Links,Dalmeny Station,1
341,Bruntsfield Links,Dalry Road Lidl,6
342,Bruntsfield Links,Drumsheugh Place,5
343,Bruntsfield Links,Duke Street,3
344,Bruntsfield Links,Dundas Street,2
345,Bruntsfield Links,Dundee Terrace,9
346,Bruntsfield Links,Dynamic Earth,2
347,Bruntsfield Links,EICC,3
348,Bruntsfield Links,East London Street,4
349,Bruntsfield Links,Edinburgh Park Station,1
350,Bruntsfield Links,Fountainbridge,2
351,Bruntsfield Links,George Square,24
352,Bruntsfield Links,Gladstone Terrace,1
353,Bruntsfield Links,Gorgie Road,4
354,Bruntsfield Links,Grassmarket,3
355,Bruntsfield Links,Hawes Pier,2
356,Bruntsfield Links,Haymarket Station,2
357,Bruntsfield Links,Haymarket Terrace,1
358,Bruntsfield Links,Hillside Crescent,6
359,Bruntsfield Links,Holyrood Road,8
360,Bruntsfield Links,Hunter Square,2
361,Bruntsfield Links,IGMM - Western General,3
362,Bruntsfield Links,Inverleith Row,2
363,Bruntsfield Links,Joppa,1
364,Bruntsfield Links,Kings Building 2,2
365,Bruntsfield Links,Kings Building 3,6
