,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
2574,1722,1722,Cramond Foreshore,Cramond Foreshore,55.98003076740317,-3.3006417888325363,55.98003076740317,-3.3006417888325363,90
1474,1024,265,Meadow Place,Meadows East,55.940237631689435,-3.194640214184801,55.939809466328285,-3.182738850746431,81
1031,265,1024,Meadows East,Meadow Place,55.939809466328285,-3.182738850746431,55.940237631689435,-3.194640214184801,80
2753,1728,1728,Portobello - Kings Road,Portobello - Kings Road,55.957915406923476,-3.118332042090288,55.957915406923476,-3.118332042090288,78
2772,1728,1824,Portobello - Kings Road,Duke Street,55.957915406923476,-3.118332042090288,55.96901164826488,-3.16739470303429,73
1023,265,265,Meadows East,Meadows East,55.939809466328285,-3.182738850746431,55.939809466328285,-3.182738850746431,73
1287,358,358,Leith Walk,Leith Walk,55.965039805077325,-3.1766864147848537,55.965039805077325,-3.1766864147848537,72
3607,1767,265,Bruntsfield Links,Meadows East,55.9371232399911,-3.206431879393449,55.939809466328285,-3.182738850746431,71
1560,1025,1025,Dundee Terrace,Dundee Terrace,55.93970989541296,-3.2205889336679547,55.93970989541296,-3.2205889336679547,66
4397,1870,1870,Hawes Pier,Hawes Pier,55.990529521430766,-3.3855966605769083,55.990529521430766,-3.3855966605769083,63
495,250,250,Victoria Quay,Victoria Quay,55.97761715254634,-3.174126319457628,55.97761715254634,-3.174126319457628,63
3428,1758,1758,Queen Margaret University,Queen Margaret University,55.931980482636575,-3.0731046336811687,55.931980482636575,-3.0731046336811687,61
4332,1824,1824,Duke Street,Duke Street,55.96901164826488,-3.16739470303429,55.96901164826488,-3.16739470303429,59
4462,2263,2263,Musselburgh Lidl,Musselburgh Lidl,55.94388031687606,-3.0667539162178628,55.94388031687606,-3.0667539162178628,55
59,183,183,Waverley Bridge,Waverley Bridge,55.95198075619354,-3.191890332557904,55.95198075619354,-3.191890332557904,55
4295,1823,1823,Boroughmuir,Boroughmuir,55.94007146917616,-3.2153358406880836,55.94007146917616,-3.2153358406880836,53
3134,1745,1745,Scotland Street,Scotland Street,55.9603797205459,-3.1954703369027584,55.9603797205459,-3.1954703369027584,52
4319,1824,1728,Duke Street,Portobello - Kings Road,55.96901164826488,-3.16739470303429,55.957915406923476,-3.118332042090288,52
1049,265,1721,Meadows East,Tollcross,55.939809466328285,-3.182738850746431,55.944248052468346,-3.2031045991104747,51
4057,1814,1814,Abbeyhill,Abbeyhill,55.95524788917224,-3.1722162800950704,55.95524788917224,-3.1722162800950704,48
1481,1024,1024,Meadow Place,Meadow Place,55.940237631689435,-3.194640214184801,55.940237631689435,-3.194640214184801,47
4108,1818,1818,Dynamic Earth,Dynamic Earth,55.95108946523637,-3.17572460948655,55.95108946523637,-3.17572460948655,45
521,250,1728,Victoria Quay,Portobello - Kings Road,55.97761715254634,-3.174126319457628,55.957915406923476,-3.118332042090288,44
2804,1729,1729,McDonald Road,McDonald Road,55.9640310527501,-3.1851753729504253,55.9640310527501,-3.1851753729504253,43
3755,1769,1769,Brunswick Place,Brunswick Place,55.960851741063955,-3.180985762469163,55.960851741063955,-3.180985762469163,42
1669,1038,1038,South Trinity Road,South Trinity Road,55.97132539148154,-3.2079635674242586,55.97132539148154,-3.2079635674242586,40
1095,285,285,Ocean Terminal,Ocean Terminal,55.98128601479298,-3.176351263805259,55.98128601479298,-3.176351263805259,40
911,262,262,Canonmills,Canonmills,55.96280408759764,-3.196283585062929,55.96280408759764,-3.196283585062929,39
885,260,1765,Lauriston Place,Haymarket Terrace,55.94477165233547,-3.197265856419562,55.946063966641006,-3.2230240243595745,37
4484,2268,358,Picardy Place,Leith Walk,55.95653524179326,-3.1862476120746805,55.965039805077325,-3.1766864147848537,37
2499,1721,265,Tollcross,Meadows East,55.944248052468346,-3.2031045991104747,55.939809466328285,-3.182738850746431,37
3644,1767,1767,Bruntsfield Links,Bruntsfield Links,55.9371232399911,-3.206431879393449,55.9371232399911,-3.206431879393449,36
