,start_station_id,start_station_name,count
19,265,Meadows East,883
27,1024,Meadow Place,632
75,1767,Bruntsfield Links,454
1,183,Waverley Bridge,454
24,358,Leith Walk,451
52,1728,Portobello - Kings Road,431
28,1025,Dundee Terrace,404
6,248,Bristo Square,391
15,259,St Andrew Square,381
18,264,Pollock Halls,372
21,289,Castle Street,349
47,1721,Tollcross,340
42,1096,West Crosscauseway,336
32,1039,Lothian Road,336
8,250,Victoria Quay,335
86,1814,Abbeyhill,317
5,247,Charlotte Square,313
7,249,Fountainbridge,301
16,260,Lauriston Place,295
51,1727,Causewayside,286
93,1823,Boroughmuir,283
60,1744,Morningside Road,269
77,1769,Brunswick Place,264
4,246,Royal Commonwealth Pool,261
11,253,Kings Building 2,253
17,262,Canonmills,249
91,1821,Drumsheugh Place,241
36,1052,Surgeons Hall,239
34,1050,EICC,236
94,1824,Duke Street,231
110,2268,Picardy Place,231
53,1729,McDonald Road,226
39,1091,Holyrood Road,218
73,1765,Haymarket Terrace,204
35,1051,Warrender Park Road,204
25,1017,Crichton Street,199
14,258,Stockbridge,199
0,171,George Square,198
2,189,City Chambers,198
38,1090,Hillside Crescent,194
48,1722,Cramond Foreshore,191
88,1818,Dynamic Earth,188
54,1730,East London Street,186
31,1038,South Trinity Road,185
40,1092,Dalry Road Lidl,185
20,285,Ocean Terminal,185
29,1028,Hunter Square,185
44,1098,Marchmont Crescent,182
79,1798,Chambers Street,182
26,1019,Grassmarket,181
45,1102,Haymarket Station,180
22,296,Castle Terrace,177
46,1720,Dundas Street,177
106,2259,Leith Walk North,163
76,1768,Thirlestane Road,162
55,1731,Pleasance Courtyard,158
56,1737,Inverleith Row,150
71,1763,Comely Bank Road,149
69,1757,Meggetland,148
61,1745,Scotland Street,142
66,1753,Waitrose Comely Bank,137
50,1726,Simon Square,137
83,1808,Gorgie Road,137
59,1743,Logie Green Road,137
13,256,St Andrews House,134
63,1748,Colinton Road,133
43,1097,Gladstone Terrace,128
65,1752,IGMM - Western General,124
81,1800,Joppa,124
70,1758,Queen Margaret University,105
107,2263,Musselburgh Lidl,105
10,252,Kings Buildings 1,99
12,254,Kings Building 3,95
89,1819,Heriot Watt - Edinburgh Business School,92
102,1870,Hawes Pier,90
37,1055,Roseburn Street,87
68,1756,Western General Hospital,86
3,225,Waverley Court,86
90,1820,Heriot Watt - Student Accommodation,81
78,1770,Ellersly Road,73
57,1738,Wester Coates Terrace,73
41,1093,Belford Road,68
58,1739,Edinburgh Royal Infirmary,67
72,1764,Craigleith Road,67
92,1822,Edinburgh Park Station,63
64,1749,Dean Street,60
101,1869,Hopetoun Road,60
82,1807,Gamekeeper's Road,58
85,1813,Milton Road - Edinburgh College,55
49,1725,Edinburgh Zoo,51
62,1747,Corstorphine Road,47
67,1754,Murrayfield Tram,46
33,1042,Kings Buildings - Murchison House,43
9,251,Waverley Station,33
23,349,Orchard Brae House,33
80,1799,Murrayfield,30
98,1865,Dalmeny Station,29
74,1766,Balgreen Road,28
108,2265,Musselburgh Brunton Hall,24
105,1877,Port Edgar Marina,21
84,1809,Royal Edinburgh Hospital,19
99,1866,The Loan,18
104,1874,Tesco Ferrymuir,18
100,1868,Forth Bridge Visitors Centre,16
97,1864,Borrowman Square,14
96,1860,Ingliston Park & Ride,11
87,1815,Sighthill - Edinburgh College,10
95,1859,Edinburgh Park Central,9
103,1871,Scotstoun House,2
30,1031,Eden Locke - Aparthotel (RESIDENTS ONLY),1
109,2268,Picady Place,1
