,start_station_id,start_station_name,count
0,171,George Square,198
1,183,Waverley Bridge,454
2,189,City Chambers,198
3,225,Waverley Court,86
4,246,Royal Commonwealth Pool,261
5,247,Charlotte Square,313
6,248,Bristo Square,391
7,249,Fountainbridge,301
8,250,Victoria Quay,335
9,251,Waverley Station,33
10,252,Kings Buildings 1,99
11,253,Kings Building 2,253
12,254,Kings Building 3,95
13,256,St Andrews House,134
14,258,Stockbridge,199
15,259,St Andrew Square,381
16,260,Lauriston Place,295
17,262,Canonmills,249
18,264,Pollock Halls,372
19,265,Meadows East,883
20,285,Ocean Terminal,185
21,289,Castle Street,349
22,296,Castle Terrace,177
23,349,Orchard Brae House,33
24,358,Leith Walk,451
25,1017,Crichton Street,199
26,1019,Grassmarket,181
27,1024,Meadow Place,632
28,1025,Dundee Terrace,404
29,1028,Hunter Square,185
30,1031,Eden Locke - Aparthotel (RESIDENTS ONLY),1
31,1038,South Trinity Road,185
32,1039,Lothian Road,336
33,1042,Kings Buildings - Murchison House,43
34,1050,EICC,236
35,1051,Warrender Park Road,204
36,1052,Surgeons Hall,239
37,1055,Roseburn Street,87
38,1090,Hillside Crescent,194
39,1091,Holyrood Road,218
40,1092,Dalry Road Lidl,185
41,1093,Belford Road,68
42,1096,West Crosscauseway,336
43,1097,Gladstone Terrace,128
44,1098,Marchmont Crescent,182
45,1102,Haymarket Station,180
46,1720,Dundas Street,177
47,1721,Tollcross,340
48,1722,Cramond Foreshore,191
49,1725,Edinburgh Zoo,51
50,1726,Simon Square,137
51,1727,Causewayside,286
52,1728,Portobello - Kings Road,431
53,1729,McDonald Road,226
54,1730,East London Street,186
55,1731,Pleasance Courtyard,158
56,1737,Inverleith Row,150
57,1738,Wester Coates Terrace,73
58,1739,Edinburgh Royal Infirmary,67
59,1743,Logie Green Road,137
60,1744,Morningside Road,269
61,1745,Scotland Street,142
62,1747,Corstorphine Road,47
63,1748,Colinton Road,133
64,1749,Dean Street,60
65,1752,IGMM - Western General,124
66,1753,Waitrose Comely Bank,137
67,1754,Murrayfield Tram,46
68,1756,Western General Hospital,86
69,1757,Meggetland,148
70,1758,Queen Margaret University,105
71,1763,Comely Bank Road,149
72,1764,Craigleith Road,67
73,1765,Haymarket Terrace,204
74,1766,Balgreen Road,28
75,1767,Bruntsfield Links,454
76,1768,Thirlestane Road,162
77,1769,Brunswick Place,264
78,1770,Ellersly Road,73
79,1798,Chambers Street,182
80,1799,Murrayfield,30
81,1800,Joppa,124
82,1807,Gamekeeper's Road,58
83,1808,Gorgie Road,137
84,1809,Royal Edinburgh Hospital,19
85,1813,Milton Road - Edinburgh College,55
86,1814,Abbeyhill,317
87,1815,Sighthill - Edinburgh College,10
88,1818,Dynamic Earth,188
89,1819,Heriot Watt - Edinburgh Business School,92
90,1820,Heriot Watt - Student Accommodation,81
91,1821,Drumsheugh Place,241
92,1822,Edinburgh Park Station,63
93,1823,Boroughmuir,283
94,1824,Duke Street,231
95,1859,Edinburgh Park Central,9
96,1860,Ingliston Park & Ride,11
97,1864,Borrowman Square,14
98,1865,Dalmeny Station,29
99,1866,The Loan,18
100,1868,Forth Bridge Visitors Centre,16
101,1869,Hopetoun Road,60
102,1870,Hawes Pier,90
103,1871,Scotstoun House,2
104,1874,Tesco Ferrymuir,18
105,1877,Port Edgar Marina,21
106,2259,Leith Walk North,163
107,2263,Musselburgh Lidl,105
108,2265,Musselburgh Brunton Hall,24
109,2268,Picady Place,1
110,2268,Picardy Place,231
