end_station_id,end_station_name,count
1818,Dynamic Earth,38
265,Meadows East,36
1728,Portobello - Kings Road,33
1824,Duke Street,33
358,Leith Walk,30
1823,Boroughmuir,25
250,Victoria Quay,25
285,Ocean Terminal,25
1024,Meadow Place,22
1814,Abbeyhill,22
1038,South Trinity Road,21
1767,Bruntsfield Links,19
1769,Brunswick Place,19
1808,Gorgie Road,19
1025,Dundee Terrace,18
258,Stockbridge,17
259,St Andrew Square,17
1039,Lothian Road,17
262,Canonmills,16
248,Bristo Square,16
289,Castle Street,15
1721,Tollcross,14
247,Charlotte Square,14
183,Waverley Bridge,14
1727,Causewayside,13
2259,Leith Walk North,12
1821,Drumsheugh Place,12
264,Pollock Halls,11
1720,Dundas Street,10
1730,East London Street,10
1743,Logie Green Road,10
1052,Surgeons Hall,10
1765,Haymarket Terrace,10
260,Lauriston Place,10
1763,Comely Bank Road,9
1090,Hillside Crescent,9
1752,IGMM - Western General,9
1745,Scotland Street,9
246,Royal Commonwealth Pool,9
253,Kings Building 2,9
1055,Roseburn Street,9
1800,Joppa,8
1748,Colinton Road,8
1729,McDonald Road,8
1756,Western General Hospital,7
1753,Waitrose Comely Bank,7
171,George Square,7
296,Castle Terrace,7
2263,Musselburgh Lidl,6
252,Kings Buildings 1,6
1870,Hawes Pier,6
249,Fountainbridge,6
1757,Meggetland,6
254,Kings Building 3,6
1726,Simon Square,5
1092,Dalry Road Lidl,5
1017,Crichton Street,5
1019,Grassmarket,5
1028,Hunter Square,5
1749,Dean Street,5
1807,Gamekeeper's Road,5
1739,Edinburgh Royal Infirmary,5
1096,West Crosscauseway,5
1102,Haymarket Station,5
1744,Morningside Road,5
1097,Gladstone Terrace,5
1737,Inverleith Row,5
1731,Pleasance Courtyard,5
225,Waverley Court,4
1799,Murrayfield,4
1798,Chambers Street,4
1091,Holyrood Road,4
1815,Sighthill - Edinburgh College,4
1098,Marchmont Crescent,3
1869,Hopetoun Road,3
1042,Kings Buildings - Murchison House,3
1754,Murrayfield Tram,3
1860,Ingliston Park & Ride,3
1819,Heriot Watt - Edinburgh Business School,2
1822,Edinburgh Park Station,2
1768,Thirlestane Road,2
2265,Musselburgh Brunton Hall,2
1766,Balgreen Road,2
1764,Craigleith Road,2
1758,Queen Margaret University,2
1050,EICC,2
1770,Ellersly Road,2
1051,Warrender Park Road,2
1738,Wester Coates Terrace,2
1747,Corstorphine Road,1
1722,Cramond Foreshore,1
189,City Chambers,1
1871,Scotstoun House,1
256,St Andrews House,1
1865,Dalmeny Station,1
251,Waverley Station,1
1820,Heriot Watt - Student Accommodation,1
1725,Edinburgh Zoo,1
1859,Edinburgh Park Central,1
