end_station_id,end_station_name,count
171,George Square,7
183,Waverley Bridge,14
189,City Chambers,1
225,Waverley Court,4
246,Royal Commonwealth Pool,9
247,Charlotte Square,14
248,Bristo Square,16
249,Fountainbridge,6
250,Victoria Quay,25
251,Waverley Station,1
252,Kings Buildings 1,6
253,Kings Building 2,9
254,Kings Building 3,6
256,St Andrews House,1
258,Stockbridge,17
259,St Andrew Square,17
260,Lauriston Place,10
262,Canonmills,16
264,Pollock Halls,11
265,Meadows East,36
285,Ocean Terminal,25
289,Castle Street,15
296,Castle Terrace,7
358,Leith Walk,30
1017,Crichton Street,5
1019,Grassmarket,5
1024,Meadow Place,22
1025,Dundee Terrace,18
1028,Hunter Square,5
1038,South Trinity Road,21
1039,Lothian Road,17
1042,Kings Buildings - Murchison House,3
1050,EICC,2
1051,Warrender Park Road,2
1052,Surgeons Hall,10
1055,Roseburn Street,9
1090,Hillside Crescent,9
1091,Holyrood Road,4
1092,Dalry Road Lidl,5
1096,West Crosscauseway,5
1097,Gladstone Terrace,5
1098,Marchmont Crescent,3
1102,Haymarket Station,5
1720,Dundas Street,10
1721,Tollcross,14
1722,Cramond Foreshore,1
1725,Edinburgh Zoo,1
1726,Simon Square,5
1727,Causewayside,13
1728,Portobello - Kings Road,33
1729,McDonald Road,8
1730,East London Street,10
1731,Pleasance Courtyard,5
1737,Inverleith Row,5
1738,Wester Coates Terrace,2
1739,Edinburgh Royal Infirmary,5
1743,Logie Green Road,10
1744,Morningside Road,5
1745,Scotland Street,9
1747,Corstorphine Road,1
1748,Colinton Road,8
1749,Dean Street,5
1752,IGMM - Western General,9
1753,Waitrose Comely Bank,7
1754,Murrayfield Tram,3
1756,Western General Hospital,7
1757,Meggetland,6
1758,Queen Margaret University,2
1763,Comely Bank Road,9
1764,Craigleith Road,2
1765,Haymarket Terrace,10
1766,Balgreen Road,2
1767,Bruntsfield Links,19
1768,Thirlestane Road,2
1769,Brunswick Place,19
1770,Ellersly Road,2
1798,Chambers Street,4
1799,Murrayfield,4
1800,Joppa,8
1807,Gamekeeper's Road,5
1808,Gorgie Road,19
1814,Abbeyhill,22
1815,Sighthill - Edinburgh College,4
1818,Dynamic Earth,38
1819,Heriot Watt - Edinburgh Business School,2
1820,Heriot Watt - Student Accommodation,1
1821,Drumsheugh Place,12
1822,Edinburgh Park Station,2
1823,Boroughmuir,25
1824,Duke Street,33
1859,Edinburgh Park Central,1
1860,Ingliston Park & Ride,3
1865,Dalmeny Station,1
1869,Hopetoun Road,3
1870,Hawes Pier,6
1871,Scotstoun House,1
2259,Leith Walk North,12
2263,Musselburgh Lidl,6
2265,Musselburgh Brunton Hall,2
