start_station_id,start_station_name,count
171,George Square,7
183,Waverley Bridge,18
189,City Chambers,1
225,Waverley Court,9
246,Royal Commonwealth Pool,8
247,Charlotte Square,20
248,Bristo Square,29
249,Fountainbridge,11
250,Victoria Quay,24
251,Waverley Station,1
252,Kings Buildings 1,4
253,Kings Building 2,10
254,Kings Building 3,6
256,St Andrews House,4
258,Stockbridge,15
259,St Andrew Square,16
260,Lauriston Place,19
262,Canonmills,12
264,Pollock Halls,10
265,Meadows East,37
285,Ocean Terminal,14
289,Castle Street,14
296,Castle Terrace,6
349,Orchard Brae House,2
358,Leith Walk,17
1017,Crichton Street,6
1019,Grassmarket,9
1024,Meadow Place,26
1025,Dundee Terrace,22
1028,Hunter Square,8
1038,South Trinity Road,9
1039,Lothian Road,21
1042,Kings Buildings - Murchison House,1
1050,EICC,4
1051,Warrender Park Road,8
1052,Surgeons Hall,12
1055,Roseburn Street,5
1090,Hillside Crescent,11
1091,Holyrood Road,9
1092,Dalry Road Lidl,9
1096,West Crosscauseway,7
1097,Gladstone Terrace,8
1098,Marchmont Crescent,4
1102,Haymarket Station,5
1720,Dundas Street,7
1721,Tollcross,19
1722,Cramond Foreshore,2
1725,Edinburgh Zoo,1
1726,Simon Square,5
1727,Causewayside,18
1728,Portobello - Kings Road,19
1729,McDonald Road,6
1730,East London Street,12
1731,Pleasance Courtyard,5
1737,Inverleith Row,8
1738,Wester Coates Terrace,2
1739,Edinburgh Royal Infirmary,3
1743,Logie Green Road,10
1744,Morningside Road,7
1745,Scotland Street,8
1747,Corstorphine Road,2
1748,Colinton Road,7
1749,Dean Street,4
1752,IGMM - Western General,8
1753,Waitrose Comely Bank,9
1754,Murrayfield Tram,1
1756,Western General Hospital,3
1757,Meggetland,6
1758,Queen Margaret University,2
1763,Comely Bank Road,5
1764,Craigleith Road,2
1765,Haymarket Terrace,10
1766,Balgreen Road,3
1767,Bruntsfield Links,19
1768,Thirlestane Road,7
1769,Brunswick Place,19
1770,Ellersly Road,3
1798,Chambers Street,7
1799,Murrayfield,5
1800,Joppa,7
1807,Gamekeeper's Road,5
1808,Gorgie Road,12
1809,Royal Edinburgh Hospital,2
1814,Abbeyhill,26
1815,Sighthill - Edinburgh College,2
1818,Dynamic Earth,21
1819,Heriot Watt - Edinburgh Business School,4
1820,Heriot Watt - Student Accommodation,1
1821,Drumsheugh Place,12
1822,Edinburgh Park Station,2
1823,Boroughmuir,22
1824,Duke Street,26
1865,Dalmeny Station,2
1869,Hopetoun Road,3
1870,Hawes Pier,2
2259,Leith Walk North,9
2263,Musselburgh Lidl,8
2265,Musselburgh Brunton Hall,3
