start_station_id,end_station_id,count
264,264,21
265,1024,18
1024,265,15
1767,265,12
253,1096,11
265,1731,10
260,1744,10
264,1728,10
265,265,10
1731,265,9
1722,1722,9
265,1823,9
1744,260,9
1728,1824,9
1024,1024,8
1728,1728,8
1814,1814,8
1050,1050,8
1091,1091,8
1818,1818,8
1824,1728,7
358,358,7
1820,1820,7
259,259,7
358,1824,7
1814,1091,7
249,249,7
1744,1744,7
1721,265,7
264,1091,7
1769,1824,7
1096,1024,7
1814,1818,6
250,250,6
1024,1731,6
1096,253,6
1038,1090,6
1819,1819,6
1731,264,6
1051,265,6
1767,1024,6
1744,1767,6
265,1721,6
265,1052,6
1818,1728,6
1050,249,6
1765,1818,6
1039,1721,6
1025,1039,6
2268,358,6
1025,1025,6
1727,1727,6
1767,1744,6
260,265,6
1730,1756,5
265,171,5
1721,1765,5
1748,264,5
247,183,5
256,1050,5
1039,1824,5
1818,1765,5
264,265,5
1051,1051,5
171,264,5
183,250,5
1024,1017,5
262,250,5
1096,183,5
265,253,5
265,1025,5
265,1017,5
1767,171,5
264,1726,5
358,2268,5
1819,1820,5
1720,1720,5
285,285,5
1721,249,5
1769,1769,5
250,1728,5
2263,2263,5
250,262,4
1025,259,4
262,262,4
1096,265,4
1721,1097,4
1823,1757,4
1091,265,4
183,264,4
259,1038,4
254,265,4
1814,225,4
265,1727,4
1756,258,4
1728,264,4
250,1737,4
1024,289,4
253,189,4
1743,262,4
1744,253,4
265,260,4
264,1052,4
171,1800,4
253,1024,4
1052,1052,4
253,1025,4
1024,249,4
1050,1721,4
1823,265,4
1743,1824,4
1721,1096,4
248,1025,4
2268,2259,4
1024,258,4
1091,258,4
1769,1756,4
1024,1727,4
265,1814,4
1091,246,4
171,265,4
264,253,4
265,1767,4
1051,1731,4
1017,1024,4
2268,250,4
1721,1808,4
2268,1824,4
1767,183,4
1039,1039,4
1730,1824,4
1090,1038,4
264,1824,4
246,1091,4
183,1756,4
1097,1721,4
1039,1757,4
1024,1726,4
1737,1038,4
258,1824,4
1814,1731,4
1824,1800,4
1097,265,4
246,1763,4
265,248,4
1097,1768,4
1038,1038,4
246,1728,4
251,1767,3
264,1748,3
251,1728,3
260,2268,3
1765,256,3
1808,1721,3
264,1757,3
264,1731,3
1024,2268,3
264,1096,3
1808,1102,3
1025,1818,3
253,265,3
258,258,3
259,1756,3
264,189,3
1024,1091,3
1756,1769,3
1024,1092,3
1757,289,3
1024,1097,3
262,1769,3
258,1756,3
258,1769,3
262,1756,3
259,250,3
1024,1728,3
1758,2263,3
259,1039,3
1028,1052,3
262,1722,3
264,248,3
258,250,3
260,1024,3
1814,1019,3
264,1028,3
1050,1092,3
253,1744,3
1050,1091,3
260,260,3
260,258,3
1815,1815,3
1024,1767,3
1813,1813,3
259,1824,3
1756,358,3
1025,2259,3
262,1038,3
1756,1729,3
1756,1737,3
1028,358,3
1039,1720,3
1748,265,3
260,1814,3
1017,1051,3
1820,1765,3
246,1052,3
1098,171,3
183,183,3
246,1726,3
1097,1823,3
265,1744,3
246,1767,3
1731,1814,3
2268,1728,3
1824,1745,3
1737,1753,3
1824,1743,3
247,358,3
1737,1756,3
1721,258,3
247,1092,3
247,1721,3
1798,1727,3
289,1770,3
1739,1720,3
1868,1868,3
1769,2268,3
189,253,3
1729,1722,3
1720,1739,3
189,265,3
1728,1800,3
2268,247,3
1720,250,3
189,1728,3
358,1090,3
2259,285,3
1728,1024,3
189,2268,3
358,258,3
2259,258,3
225,225,3
1017,264,3
1017,1763,3
247,1091,3
248,248,3
249,1720,3
265,252,3
265,1091,3
1091,264,3
249,265,3
249,1025,3
1019,289,3
1769,259,3
249,1721,3
1767,259,3
1727,248,3
264,2263,3
1745,285,3
1798,1769,3
1768,1768,3
1798,1814,3
171,1024,3
1744,1727,3
1728,1814,3
248,1767,3
248,1808,3
265,1051,3
248,1721,3
1768,265,3
1798,1748,3
1743,1743,3
1091,1814,3
1017,1821,3
248,264,3
1767,260,3
248,1818,3
1765,1092,2
1768,247,2
1765,1722,2
1765,1756,2
1767,1726,2
296,1092,2
296,1743,2
1767,1767,2
1024,1753,2
296,1728,2
1768,1748,2
1024,1814,2
1768,264,2
358,254,2
1025,183,2
1767,1821,2
1768,171,2
1024,1765,2
1024,183,2
358,1728,2
1017,1721,2
1024,248,2
1024,171,2
1019,1823,2
1019,1821,2
1024,252,2
1765,1822,2
1019,1763,2
1019,285,2
1765,259,2
1765,1821,2
1019,253,2
1017,2268,2
1767,264,2
1767,1039,2
1017,1720,2
358,1730,2
1024,1039,2
1017,1025,2
1765,1807,2
1767,1051,2
1017,358,2
1017,265,2
1765,1770,2
1017,262,2
1024,1721,2
358,2259,2
1767,1096,2
358,1769,2
358,1765,2
358,1737,2
1091,1050,2
1753,2268,2
1765,258,2
1731,1098,2
1737,1769,2
1096,2268,2
1737,1745,2
1731,1739,2
1098,183,2
1731,1731,2
1731,1024,2
1096,1756,2
1098,1731,2
1098,1744,2
1102,171,2
1102,183,2
1731,246,2
1102,1051,2
1096,1768,2
1096,1096,2
1025,265,2
1743,1821,2
1091,2259,2
1744,246,2
1092,1025,2
1092,1050,2
1092,1092,2
1092,1093,2
1743,1764,2
1096,1091,2
1743,1756,2
1092,1798,2
1743,296,2
1743,249,2
1096,358,2
1096,1039,2
1102,1721,2
1102,1722,2
1730,358,2
1727,1102,2
1725,260,2
1726,253,2
1727,1768,2
1726,264,2
1727,1728,2
1726,1726,2
1726,1731,2
1730,258,2
1726,1743,2
1727,171,2
1727,1052,2
1727,1042,2
1727,249,2
1727,1024,2
1728,250,2
1722,1729,2
1728,1039,2
1728,1090,2
1721,1727,2
1721,1102,2
1721,1025,2
1721,1024,2
1721,246,2
1729,258,2
1729,358,2
1729,1729,2
1729,1737,2
1729,1769,2
1102,2259,2
1102,1859,2
1102,1808,2
1091,1767,2
1091,1731,2
1091,1728,2
1039,1038,2
1757,1744,2
1038,1763,2
1038,1800,2
1039,248,2
1039,260,2
1039,1017,2
1039,1051,2
1050,1051,2
1756,1756,2
1756,1753,2
1039,1102,2
1039,1744,2
1042,171,2
1050,256,2
1757,1823,2
1038,252,2
1758,1728,2
1758,1824,2
1763,250,2
1028,1728,2
1763,1753,2
1763,1769,2
1028,264,2
1764,1720,2
1025,1769,2
1764,1754,2
1025,1753,2
1025,1744,2
1025,1730,2
1025,1721,2
1025,1024,2
1050,1024,2
1768,1756,2
1091,1726,2
1090,1090,2
1745,2259,2
1055,1055,2
1745,1745,2
1090,258,2
1090,259,2
1745,262,2
1090,1729,2
1753,1809,2
1744,1823,2
1090,1758,2
1090,1769,2
1091,171,2
1091,1017,2
1744,1748,2
1748,183,2
1052,1727,2
1748,1051,2
1052,265,2
1052,249,2
1052,248,2
1052,246,2
1753,258,2
1753,262,2
1753,358,2
1051,1102,2
1051,1024,2
1051,1017,2
1753,1737,2
1753,1743,2
1753,1753,2
1753,1756,2
296,1091,2
1727,265,2
1768,1757,2
250,358,2
253,358,2
253,262,2
253,246,2
1818,1813,2
296,264,2
252,1727,2
251,1102,2
1819,1822,2
250,1823,2
250,1818,2
1820,1819,2
1821,258,2
1823,252,2
249,1798,2
249,1743,2
249,1728,2
1821,1017,2
1821,1090,2
1821,1728,2
1821,1737,2
249,248,2
1821,1807,2
248,1824,2
1821,1821,2
253,1019,2
1818,246,2
254,262,2
254,1091,2
260,1770,2
260,1728,2
260,1102,2
260,1092,2
1808,1823,2
1809,1753,2
259,2259,2
259,1765,2
1813,1749,2
259,1091,2
259,183,2
258,2259,2
258,1799,2
258,1745,2
258,1743,2
258,1720,2
1814,265,2
258,358,2
258,262,2
1814,1739,2
1814,1767,2
256,262,2
256,189,2
248,1756,2
248,1728,2
1808,250,2
2268,264,2
189,1763,2
189,1727,2
2259,1728,2
189,256,2
183,1824,2
2259,2259,2
2259,2268,2
183,1727,2
183,1102,2
2268,253,2
183,1091,2
2268,265,2
1823,260,2
183,1038,2
2268,296,2
183,358,2
2268,1091,2
2268,1093,2
171,1808,2
171,1767,2
2268,1753,2
171,1728,2
2268,1769,2
171,1091,2
189,1814,2
225,1814,2
1866,1860,2
1864,1864,2
1823,1025,2
248,1024,2
248,289,2
248,265,2
248,262,2
1823,1097,2
1823,1098,2
1823,1823,2
247,1722,2
1824,259,2
247,1098,2
247,1028,2
247,262,2
247,249,2
247,247,2
246,1818,2
1824,1824,2
1860,1866,2
246,1042,2
246,358,2
246,254,2
246,253,2
246,248,2
262,254,2
1818,1814,2
289,1725,2
1800,1096,2
265,254,2
264,1768,2
265,249,2
1800,1824,2
1769,1028,2
265,1726,2
264,1721,2
265,1729,2
1799,1823,2
1770,1866,2
264,1039,2
296,246,2
264,171,2
265,1800,2
1800,246,2
1769,1728,2
264,1017,2
1798,253,2
264,1813,2
264,2268,2
289,1765,2
1798,265,2
262,1745,2
265,183,2
289,1092,2
265,1098,2
265,1092,2
265,1097,2
1807,1864,2
1807,1038,2
265,264,2
1798,1744,2
265,1039,2
1770,289,2
265,258,2
265,358,2
1737,1814,1
1824,349,1
1737,1799,1
1737,1808,1
1767,1091,1
1770,1815,1
1731,1726,1
1864,1756,1
1738,258,1
1738,1038,1
1731,1096,1
1738,1055,1
1738,2259,1
1737,1877,1
1767,1092,1
1767,1097,1
1859,1822,1
1731,1767,1
1824,2268,1
1731,1757,1
1770,1821,1
1739,260,1
1859,1819,1
1737,183,1
1770,1770,1
1859,1859,1
1824,1758,1
1737,1051,1
1798,246,1
1798,249,1
1824,358,1
1765,1754,1
1739,1745,1
1798,258,1
1798,1729,1
1743,1798,1
1823,289,1
1744,171,1
1767,1028,1
1823,258,1
1744,183,1
1823,249,1
1744,247,1
1744,248,1
1767,358,1
1744,250,1
1823,248,1
1822,1822,1
1822,1820,1
1744,259,1
1822,1808,1
1821,1824,1
1744,1024,1
1767,289,1
1743,1769,1
1823,1039,1
1823,1808,1
1743,1753,1
1739,1098,1
1823,1767,1
1823,1756,1
1823,1744,1
1823,1728,1
1823,1720,1
1739,1744,1
1770,248,1
1798,296,1
1739,1758,1
1739,1769,1
1798,1024,1
1743,258,1
1798,1098,1
1743,1017,1
1743,1097,1
1743,1729,1
1798,1725,1
1823,1096,1
1731,296,1
1868,1866,1
1767,1721,1
1728,183,1
2268,1024,1
1768,260,1
1768,248,1
1728,285,1
1769,1038,1
1728,1038,1
2268,256,1
1769,1092,1
1728,1091,1
1728,1097,1
1767,2268,1
1728,1727,1
2268,248,1
1767,1824,1
2268,225,1
1728,1729,1
1728,1737,1
2268,183,1
2265,2263,1
1728,1745,1
1728,1769,1
1728,246,1
1727,2268,1
2263,1758,1
1727,2259,1
2268,1808,1
1727,1025,1
2268,1798,1
1768,1767,1
1769,250,1
2268,1767,1
1769,258,1
1768,1744,1
1727,1096,1
2268,1730,1
1769,296,1
1768,1739,1
1727,1721,1
2268,1729,1
2268,1096,1
1727,1744,1
1768,1727,1
1768,1098,1
1727,1800,1
2268,1050,1
1727,1808,1
2263,1813,1
