end_station_id,end_station_name,count
265,Meadows East,135
1728,Portobello - Kings Road,92
1024,Meadow Place,88
1824,Duke Street,78
264,Pollock Halls,76
1091,Holyrood Road,65
358,Leith Walk,62
250,Victoria Quay,56
1721,Tollcross,54
1814,Abbeyhill,53
258,Stockbridge,53
1767,Bruntsfield Links,52
183,Waverley Bridge,52
1756,Western General Hospital,51
1744,Morningside Road,50
2268,Picardy Place,47
1025,Dundee Terrace,46
253,Kings Building 2,45
1727,Causewayside,45
249,Fountainbridge,45
1769,Brunswick Place,44
262,Canonmills,42
248,Bristo Square,41
1731,Pleasance Courtyard,40
1818,Dynamic Earth,40
1038,South Trinity Road,40
260,Lauriston Place,39
1808,Gorgie Road,39
1039,Lothian Road,37
1765,Haymarket Terrace,37
1092,Dalry Road Lidl,37
171,George Square,37
2259,Leith Walk North,36
259,St Andrew Square,36
1823,Boroughmuir,35
1096,West Crosscauseway,35
246,Royal Commonwealth Pool,34
1017,Crichton Street,31
1720,Dundas Street,31
1753,Waitrose Comely Bank,30
1052,Surgeons Hall,30
1757,Meggetland,29
289,Castle Street,29
1090,Hillside Crescent,28
1050,EICC,28
1102,Haymarket Station,28
1051,Warrender Park Road,28
1722,Cramond Foreshore,28
1821,Drumsheugh Place,28
285,Ocean Terminal,25
1726,Simon Square,25
1743,Logie Green Road,25
1737,Inverleith Row,24
1763,Comely Bank Road,24
1800,Joppa,24
1729,McDonald Road,24
1768,Thirlestane Road,20
1097,Gladstone Terrace,18
1028,Hunter Square,18
247,Charlotte Square,18
1019,Grassmarket,17
2263,Musselburgh Lidl,15
1748,Colinton Road,15
1098,Marchmont Crescent,15
252,Kings Buildings 1,14
1745,Scotland Street,14
256,St Andrews House,14
1739,Edinburgh Royal Infirmary,14
1820,Heriot Watt - Student Accommodation,14
1813,Milton Road - Edinburgh College,14
254,Kings Building 3,13
1798,Chambers Street,13
1819,Heriot Watt - Edinburgh Business School,13
189,City Chambers,13
1764,Craigleith Road,12
1754,Murrayfield Tram,12
225,Waverley Court,11
1730,East London Street,11
296,Castle Terrace,10
1758,Queen Margaret University,10
1770,Ellersly Road,9
1822,Edinburgh Park Station,9
1749,Dean Street,8
1055,Roseburn Street,8
1093,Belford Road,8
1807,Gamekeeper's Road,7
1815,Sighthill - Edinburgh College,7
1042,Kings Buildings - Murchison House,6
1864,Borrowman Square,5
1766,Balgreen Road,5
1859,Edinburgh Park Central,5
1866,The Loan,5
1738,Wester Coates Terrace,4
349,Orchard Brae House,4
1868,Forth Bridge Visitors Centre,3
1799,Murrayfield,3
1809,Royal Edinburgh Hospital,3
1725,Edinburgh Zoo,3
1860,Ingliston Park & Ride,2
1870,Hawes Pier,2
2265,Musselburgh Brunton Hall,2
1747,Corstorphine Road,1
1869,Hopetoun Road,1
1874,Tesco Ferrymuir,1
1877,Port Edgar Marina,1
251,Waverley Station,1
