start_station_id,start_station_name,count
265,Meadows East,37
248,Bristo Square,29
1024,Meadow Place,26
1814,Abbeyhill,26
1824,Duke Street,26
250,Victoria Quay,24
1823,Boroughmuir,22
1025,Dundee Terrace,22
1039,Lothian Road,21
1818,Dynamic Earth,21
247,Charlotte Square,20
1767,Bruntsfield Links,19
1721,Tollcross,19
1769,Brunswick Place,19
1728,Portobello - Kings Road,19
260,Lauriston Place,19
183,Waverley Bridge,18
1727,Causewayside,18
358,Leith Walk,17
259,St Andrew Square,16
258,Stockbridge,15
285,Ocean Terminal,14
289,Castle Street,14
1052,Surgeons Hall,12
1808,Gorgie Road,12
1730,East London Street,12
1821,Drumsheugh Place,12
262,Canonmills,12
249,Fountainbridge,11
1090,Hillside Crescent,11
264,Pollock Halls,10
1765,Haymarket Terrace,10
1743,Logie Green Road,10
253,Kings Building 2,10
2259,Leith Walk North,9
1019,Grassmarket,9
1038,South Trinity Road,9
1091,Holyrood Road,9
1092,Dalry Road Lidl,9
225,Waverley Court,9
1753,Waitrose Comely Bank,9
246,Royal Commonwealth Pool,8
2263,Musselburgh Lidl,8
1745,Scotland Street,8
1752,IGMM - Western General,8
1737,Inverleith Row,8
1051,Warrender Park Road,8
1028,Hunter Square,8
1097,Gladstone Terrace,8
1748,Colinton Road,7
1768,Thirlestane Road,7
1744,Morningside Road,7
1800,Joppa,7
1798,Chambers Street,7
171,George Square,7
1096,West Crosscauseway,7
1720,Dundas Street,7
1017,Crichton Street,6
1729,McDonald Road,6
254,Kings Building 3,6
1757,Meggetland,6
296,Castle Terrace,6
1799,Murrayfield,5
1731,Pleasance Courtyard,5
1726,Simon Square,5
1055,Roseburn Street,5
1807,Gamekeeper's Road,5
1102,Haymarket Station,5
1763,Comely Bank Road,5
1098,Marchmont Crescent,4
1819,Heriot Watt - Edinburgh Business School,4
1050,EICC,4
256,St Andrews House,4
1749,Dean Street,4
252,Kings Buildings 1,4
1869,Hopetoun Road,3
1770,Ellersly Road,3
2265,Musselburgh Brunton Hall,3
1739,Edinburgh Royal Infirmary,3
1756,Western General Hospital,3
1766,Balgreen Road,3
1870,Hawes Pier,2
1747,Corstorphine Road,2
1865,Dalmeny Station,2
1722,Cramond Foreshore,2
1822,Edinburgh Park Station,2
1738,Wester Coates Terrace,2
1758,Queen Margaret University,2
1815,Sighthill - Edinburgh College,2
349,Orchard Brae House,2
1809,Royal Edinburgh Hospital,2
1764,Craigleith Road,2
1820,Heriot Watt - Student Accommodation,1
1042,Kings Buildings - Murchison House,1
1725,Edinburgh Zoo,1
251,Waverley Station,1
189,City Chambers,1
1754,Murrayfield Tram,1
