start_station_id,start_station_name,count
265,Meadows East,149
264,Pollock Halls,113
1024,Meadow Place,109
1767,Bruntsfield Links,71
1721,Tollcross,60
1814,Abbeyhill,56
1091,Holyrood Road,56
248,Bristo Square,56
183,Waverley Bridge,54
2268,Picardy Place,53
1744,Morningside Road,52
260,Lauriston Place,52
1096,West Crosscauseway,51
1728,Portobello - Kings Road,51
1025,Dundee Terrace,51
1039,Lothian Road,51
358,Leith Walk,50
1050,EICC,50
253,Kings Building 2,47
246,Royal Commonwealth Pool,45
249,Fountainbridge,42
247,Charlotte Square,42
259,St Andrew Square,42
1727,Causewayside,41
1017,Crichton Street,41
258,Stockbridge,40
1765,Haymarket Terrace,40
262,Canonmills,39
1731,Pleasance Courtyard,36
1769,Brunswick Place,36
171,George Square,36
1818,Dynamic Earth,35
1051,Warrender Park Road,35
250,Victoria Quay,35
1798,Chambers Street,32
189,City Chambers,32
1823,Boroughmuir,32
1052,Surgeons Hall,31
1756,Western General Hospital,31
296,Castle Terrace,30
1753,Waitrose Comely Bank,29
1743,Logie Green Road,28
1102,Haymarket Station,28
1038,South Trinity Road,28
1028,Hunter Square,27
1821,Drumsheugh Place,26
1720,Dundas Street,25
1092,Dalry Road Lidl,25
1824,Duke Street,25
1768,Thirlestane Road,25
1090,Hillside Crescent,25
1097,Gladstone Terrace,24
289,Castle Street,24
2259,Leith Walk North,24
1748,Colinton Road,22
1729,McDonald Road,22
1808,Gorgie Road,21
1019,Grassmarket,21
1737,Inverleith Row,20
256,St Andrews House,19
1098,Marchmont Crescent,19
1722,Cramond Foreshore,18
1820,Heriot Watt - Student Accommodation,18
1726,Simon Square,18
1730,East London Street,18
1819,Heriot Watt - Edinburgh Business School,16
1757,Meggetland,16
1745,Scotland Street,15
1763,Comely Bank Road,15
254,Kings Building 3,13
1800,Joppa,13
1754,Murrayfield Tram,12
251,Waverley Station,11
1813,Milton Road - Edinburgh College,11
285,Ocean Terminal,11
1758,Queen Margaret University,11
252,Kings Buildings 1,11
225,Waverley Court,10
2263,Musselburgh Lidl,10
1764,Craigleith Road,9
1739,Edinburgh Royal Infirmary,9
1770,Ellersly Road,8
1055,Roseburn Street,8
1093,Belford Road,7
1042,Kings Buildings - Murchison House,7
1807,Gamekeeper's Road,6
1799,Murrayfield,5
1815,Sighthill - Edinburgh College,4
1725,Edinburgh Zoo,4
1868,Forth Bridge Visitors Centre,4
1864,Borrowman Square,4
349,Orchard Brae House,4
1738,Wester Coates Terrace,4
1822,Edinburgh Park Station,3
1859,Edinburgh Park Central,3
1809,Royal Edinburgh Hospital,3
1766,Balgreen Road,2
1860,Ingliston Park & Ride,2
1866,The Loan,2
1749,Dean Street,2
1747,Corstorphine Road,2
1870,Hawes Pier,1
1874,Tesco Ferrymuir,1
2265,Musselburgh Brunton Hall,1
