19.312,29.992,0,1,2
18.982,29.027,0,1,2
22.065,37.943,0,1,2
20.459,32.433,0,1,2
22.281,38.247,0,2,1
19.297,30.542,0,2,1
16.176,22.307,0,2,1
21.891,37.242,0,1,2
27.467,38.443,0,2,1
22.079,39.957,0,2,1
19.294,30.215,0,2,1
21.939,39.593,0,2,1
21.211,37.785,0,2,1
22.418,40.808,0,1,2
20.997,34.773,0,2,1
22.259,38.21,0,2,1
21.945,39.74,0,2,1
19.571,30.795,0,2,1
22.689,41.393,0,2,1
26.406,43.698,0,2,1
21.362,36.242,0,1,2
20.525,33.15,0,2,1
26.06,42.75,0,2,1
23.449,41.135,0,1,2
21.803,37.085,0,2,1
21.84,36.573,0,2,1
23.901,44.447,0,1,2
23.404,43.19,0,1,2
21.646,35.692,0,2,1
23.857,41.97,0,2,1
23.843,42.158,0,2,1
22.436,38.198,0,1,2
21.467,35.132,0,2,1
22.302,37.323,0,2,1
22.32,37.307,0,2,1
23.146,40.202,0,2,1
24.36,45.783,0,2,1
23.323,40.463,0,2,1
23.465,40.108,0,2,1
33.397,48.995,0,2,1
24.539,45.937,0,1,2
24.484,43.755,0,2,1
24.079,42.325,0,2,1
27.226,49.788,0,2,1
25.048,47.198,0,1,2
23.039,36.675,0,1,2
23.323,39.902,0,2,1
24.568,43.178,0,2,1
23.228,39.972,0,2,1
32.961,47.707,0,2,1
25.849,43.718,0,1,2
26.732,49.058,0,2,1
25.27,43.93,0,2,1
24.995,44.775,0,2,1
27.994,52.13,0,2,1
26.693,49.068,0,2,1
26.238,47.83,0,2,1
24.08,41.618,0,2,1
23.933,41.56,0,2,1
26.151,47.655,0,2,1
33.042,47.883,0,2,1
26.366,46.743,0,2,1
25.063,44.97,0,2,1
27.236,49.448,0,2,1
26.562,44.077,0,2,1
26.91,45.228,0,1,2
35.739,51.867,0,2,1
28.148,46.635,0,1,2
44.062,55.692,0,2,1
40.957,53.472,0,2,1
47.472,59.392,0,2,1
44.092,56.073,0,2,1
29.743,53.778,0,2,1
28.869,52.227,0,2,1
45.898,55.077,0,2,1
28.446,52.168,0,2,1
27.761,50.68,0,2,1
44.299,56.105,0,2,1
46.426,57.425,0,2,1
60.718,58.573,0,1,2
68.487,71.248,0,2,1
63.22,63.382,0,1,2
57.072,65.105,0,2,1
24.658,40.127,0,2,1
61.726,68.86,0,2,1
66.168,72.413,0,2,1
65.159,69.255,0,2,1
18.253,28.922,0,2,1
58.492,68.977,0,2,1
14.367,21.998,0,2,1
27.035,37.445,0,1,2
57.284,65.615,0,2,1
25.017,41.13,0,2,1
15.133,20.687,0,2,1
66.657,70.013,0,2,1
45.997,54.537,0,1,2
15.575,21.702,0,2,1
20.168,36.165,0,2,1
67.424,68.82,0,2,1
20.697,27.59,0,2,1
50.94,61.348,0,1,2
16.971,25.433,0,1,2
18.251,28.595,0,2,1
20.395,36.823,0,2,1
17.939,27.407,0,1,2
25.062,41.19,0,2,1
20.32,34.508,0,1,2
20.902,38.12,0,2,1
20.76,35.465,0,2,1
21.022,36.323,0,1,2
21.375,39.188,0,1,2
19.416,30.813,0,1,2
18.528,29.175,0,2,1
23.496,44.317,0,1,2
19.869,32.298,0,2,1
21.285,39.072,0,1,2
25.363,42.078,0,2,1
20.896,37.973,0,2,1
22.405,39.515,0,1,2
19.482,31.53,0,2,1
21.036,38.337,0,2,1
20.603,34.072,0,2,1
19.391,31.253,0,2,1
22.858,42.827,0,1,2
21.238,36.627,0,2,1
22.36,41.57,0,1,2
20.848,35.622,0,1,2
21.646,39.773,0,2,1
18.528,29.175,0,2,1
22.103,38.582,0,2,1
19.954,33.153,0,2,1
22.8,40.538,0,2,1
19.492,31.308,0,2,1
20.467,36.752,0,2,1
23.317,44.163,0,2,1
20.801,35.573,0,2,1
21.211,38.885,0,1,2
21.215,36.59,0,2,1
20.424,33.512,0,2,1
20.797,34.953,0,2,1
21.277,35.687,0,2,1
22.814,40.35,0,2,1
21.259,35.703,0,2,1
23.441,42.135,0,2,1
22.185,38.352,0,2,1
22.28,38.843,0,2,1
23.525,41.558,0,2,1
24.005,45.578,0,1,2
22.279,38.282,0,2,1
32.944,48.023,0,2,1
27.105,45.015,0,1,2
27.403,50.548,0,2,1
26.183,48.168,0,2,1
21.996,35.055,0,1,2
25.519,42.457,0,2,1
24.806,42.098,0,1,2
23.037,39.998,0,2,1
24.227,42.31,0,2,1
25.195,46.21,0,2,1
32.508,46.735,0,2,1
22.422,38.488,0,2,1
23.036,40.705,0,2,1
35.286,50.895,0,2,1
25.867,43.608,0,1,2
32.588,46.912,0,2,1
25.689,47.438,0,2,1
26.718,49.06,0,2,1
24.02,43.35,0,2,1
25.323,45.123,0,2,1
25.108,46.035,0,2,1
22.89,39.94,0,2,1
27.826,50.607,0,2,1
26.193,47.828,0,2,1
28.7,52.158,0,2,1
40.503,52.5,0,2,1
25.65,47.448,0,2,1
23.952,43.155,0,2,1
43.609,54.72,0,2,1
43.639,55.102,0,2,1
26.951,50.51,0,2,1
43.846,55.133,0,2,1
47.019,58.42,0,2,1
45.445,54.105,0,2,1
45.489,53.358,0,1,2
45.973,56.453,0,2,1
62.712,62.203,0,1,2
60.21,57.395,0,1,2
50.432,60.17,0,1,2
56.831,64.643,0,2,1
58.039,68.005,0,2,1
64.706,68.283,0,2,1
22.715,32.72,0,2,1
56.618,64.133,0,2,1
65.715,71.442,0,2,1
22.4,31.205,0,1,2
30.09,41.745,0,1,2
26.95,36.652,0,1,2
66.971,67.848,0,2,1
22.989,32.973,0,2,1
61.273,67.888,0,2,1
23.853,35.052,0,2,1
24.764,40.635,0,1,2
23.878,34.612,0,1,2
66.204,69.042,0,2,1
22.713,32.393,0,2,1
21.432,29.232,0,1,2
27.274,41.672,0,1,2
20.471,28.295,0,2,1
25.31,39.42,0,1,2
30.795,43.697,0,1,2
26.562,39.987,0,1,2
20.037,25.5,0,2,1
30.449,42.748,0,1,2
20.142,25.282,0,1,2
68.034,70.277,0,2,1
30.494,42.808,0,1,2
22.731,32.17,0,1,2
22.989,32.973,0,2,1
24.782,38.307,0,1,2
24.537,39.977,0,1,2
26.632,39.992,0,1,2
27.061,41.297,0,1,2
24.781,38.42,0,1,2
27.071,41.478,0,1,2
27.643,42.62,0,1,2
23.943,35.328,0,2,1
25.699,40.425,0,2,1
23.954,35.107,0,2,1
27.151,41.568,0,1,2
24.331,36.097,0,2,1
24.415,36.952,0,2,1
27.276,44.148,0,2,1
29.089,45.525,0,1,2
25.677,40.388,0,2,1
25.221,39.263,0,2,1
27.574,42.417,0,1,2
27.483,42.3,0,1,2
29.727,47.015,0,1,2
28.559,44.798,0,1,2
25.855,40.377,0,1,2
25.738,39.485,0,2,1
26.867,43.313,0,1,2
25.259,38.752,0,2,1
26.564,42.38,0,2,1
24.886,37.31,0,2,1
25.263,39.372,0,2,1
28.353,44.3,0,1,2
26.884,42.287,0,2,1
29.661,46.975,0,1,2
27.903,45.933,0,2,1
26.457,38.853,0,1,2
28.482,47.148,0,2,1
26.741,42.08,0,2,1
25.721,39.502,0,2,1
32.631,46.16,0,1,2
25.065,37.87,0,2,1
26.742,42.642,0,2,1
27.987,45.357,0,2,1
26.647,42.15,0,2,1
32.598,46.288,0,1,2
28.413,46.953,0,2,1
27.497,44.503,0,2,1
32.757,46.715,0,1,2
33.094,47.777,0,1,2
27.352,43.738,0,2,1
33.796,48.985,0,1,2
27.498,43.797,0,2,1
29.57,49.833,0,2,1
33.558,48.412,0,1,2
35.455,49.837,0,1,2
29.656,50.008,0,2,1
28.689,46.108,0,2,1
29.268,45.897,0,1,2
29.785,48.922,0,2,1
30.328,47.407,0,1,2
29.981,46.255,0,2,1
31.566,48.813,0,1,2
40.496,51.138,0,1,2
35.665,51.3,0,1,2
41.389,52.792,0,1,2
41.323,52.427,0,1,2
40.496,51.138,0,1,2
47.076,57.977,0,1,2
40.521,51.262,0,1,2
46.481,53.732,0,1,2
44.328,54.603,0,1,2
62.627,61.41,0,1,2
41.199,52.48,0,1,2
58.405,67.692,0,1,2
46.298,56.553,0,1,2
61.21,67.182,0,1,2
56.883,64.032,0,1,2
45.404,52.565,0,1,2
35.452,50.608,0,1,2
58.091,67.393,0,1,2
44.216,54.625,0,1,2
50.347,59.377,0,1,2
56.67,63.522,0,1,2
60.125,56.602,0,1,2
43.801,54.442,0,1,2
63.785,68.453,0,1,2
64.161,69.632,0,1,2
66.549,71.482,0,1,2
67.54,67.413,0,1,2
11.427,18.402,0,1,2
10.47,19.122,0,2,1
20.779,35.893,0,1,2
11.894,22.855,0,1,2
22.228,38.307,0,1,2
16.387,33.78,0,1,2
13.179,26.002,0,2,1
13.181,26.328,0,2,1
22.587,39.31,0,1,2
16.614,34.438,0,1,2
15.787,33.0,0,1,2
13.455,26.582,0,2,1
22.632,39.37,0,1,2
13.208,25.75,0,1,2
15.961,33.702,0,1,2
14.339,28.235,0,1,2
17.579,36.678,0,1,2
15.259,31.887,0,1,2
14.319,28.66,0,2,1
12.862,24.828,0,1,2
15.258,32.0,0,1,2
17.157,35.675,0,1,2
22.933,40.258,0,1,2
17.167,35.857,0,1,2
14.42,28.715,0,2,1
13.455,26.582,0,2,1
14.797,29.705,0,2,1
17.505,36.492,0,1,2
15.729,32.98,0,2,1
16.143,33.997,0,2,1
17.247,35.947,0,1,2
14.409,28.937,0,2,1
17.873,37.44,0,1,2
16.165,34.033,0,2,1
16.728,34.37,0,1,2
14.881,30.56,0,2,1
17.669,36.795,0,1,2
17.344,36.893,0,1,2
15.687,32.872,0,2,1
16.332,33.957,0,1,2
19.152,40.433,0,1,2
18.655,39.177,0,1,2
15.725,32.36,0,2,1
15.531,31.478,0,2,1
15.352,30.918,0,2,1
17.03,35.988,0,2,1
17.727,37.945,0,2,1
19.618,41.787,0,1,2
19.79,41.923,0,1,2
16.204,33.093,0,2,1
18.369,39.542,0,2,1
17.742,37.757,0,2,1
17.113,35.758,0,2,1
16.919,32.477,0,1,2
16.186,33.11,0,2,1
19.155,39.717,0,2,1
18.88,40.562,0,2,1
18.948,40.757,0,2,1
18.453,38.965,0,2,1
17.208,36.25,0,2,1
20.122,43.617,0,2,1
17.35,35.895,0,2,1
23.244,46.298,0,2,1
17.818,37.347,0,2,1
21.11,45.575,0,2,1
20.3,43.185,0,1,2
22.889,45.187,0,2,1
17.963,38.112,0,2,1
19.745,39.477,0,1,2
17.964,37.405,0,2,1
20.035,43.442,0,2,1
20.617,44.845,0,2,1
17.207,35.688,0,2,1
20.251,42.53,0,2,1
20.577,44.855,0,2,1
